file,nmi,pk,pk_rdm,wd,wd_rdm,ext_nmi,ext_pk,ext_pk_rdm,ext_wd,ext_wd_rdm
corpora/elements_pp/e100_pp_wostw.txt,0.7281587898044706,0.4444444444444444444444444444,0.527777777777777777777777778,0.500000000000000000000000000,0.9305555555555555555555555555,0.7676610311144844,0.3889265885256014805675508945,0.576249228871067242442936459,1.0,1.0
corpora/elements_pp/e101_pp_wostw.txt,0.7007976349387023,0.3,0.15,0.6,0.75,0.7886172971372303,0.2669966996699669966996699670,0.5753575357535753575357535755,1.0,1.0
corpora/elements_pp/e102_pp_wostw.txt,0.7297188910543206,0.500000000000000000000000000,0.4736842105263157894736842106,0.657894736842105263157894737,0.763157894736842105263157895,0.7385407691378623,0.3910836459942617523725446922,0.583756345177664974619289340,1.0,1.0
corpora/elements_pp/e103_pp_wostw.txt,0.7109361461726219,0.4090909090909090909090909091,0.4848484848484848484848484848,0.5454545454545454545454545455,0.7575757575757575757575757575,0.707047766747527,0.3869991351974632458921879504,0.5755741327952339771307773615,1.0,1.0
corpora/elements_pp/e104_pp_wostw.txt,0.7535811064419444,0.1875,0.125,0.875,0.625,0.7843879246379756,0.3624919302775984506132989026,0.5719819238218205293737895415,0.3999354422207876049063912202,1
corpora/elements_pp/e105_pp_wostw.txt,0.743829349837209,0.4591836734693877551020408163,0.5714285714285714285714285715,0.510204081632653061224489796,0.979591836734693877551020408,0.7128842513681692,0.3701747553911307988122474809,0.665579516136883609988803972,1.0,1.0
corpora/elements_pp/e106_pp_wostw.txt,0.15106563978903276,1,0.5,1,1,0.16540282161143127,0.4126819126819126819126819127,0.6663201663201663201663201665,1.0,1.0
corpora/elements_pp/e107_pp_wostw.txt,0.6666666666666666,0,0,1,0.5,0.67874650134704,0.2005141388174807197943444730,0.598971722365038560411311054,0.2005141388174807197943444730,1
corpora/elements_pp/e108_pp_wostw.txt,0.5457423911577897,0.3333333333333333333333333333,0.2500000000000000000000000000,0.750000000000000000000000000,0.750000000000000000000000000,0.6484119133466141,0.2309486780715396578538102644,0.5707620528771384136858475895,0.4374027993779160186625194401,1
corpora/elements_pp/e109_pp_wostw.txt,0.6504028095792593,0.3181818181818181818181818182,0.5454545454545454545454545455,0.3636363636363636363636363636,0.6363636363636363636363636365,0.644091072507641,0.3511955593509820666097352690,0.600341588385994876174210077,1.0,1.0
corpora/elements_pp/e10_pp_wostw.txt,0.6857167327683834,0.521739130434782608695652174,0.6086956521739130434782608695,0.5869565217391304347826086955,0.8913043478260869565217391305,0.6654557896694193,0.4527659574468085106382978724,0.608680851063829787234042553,1.0,1.0
corpora/elements_pp/e110_pp_wostw.txt,0.5048224912297377,0.3571428571428571428571428572,0.500000000000000000000000000,0.857142857142857142857142857,0.642857142857142857142857143,0.5782955191292286,0.4403356121814791796146674953,0.577998756991920447482908639,0.5372902423865755127408328155,1
corpora/elements_pp/e111_pp_wostw.txt,1.0,0.0,0.0,1.0,1.0,1.0,0,0.6666666666666666666666666665,0,1
corpora/elements_pp/e112_pp_wostw.txt,1.0,0,0,0,0,1.0,0,0,1.0,1.0
corpora/elements_pp/e113_pp_wostw.txt,0.6547991927540455,0.3333333333333333333333333333,0.3333333333333333333333333333,0.6666666666666666666666666665,0.6666666666666666666666666665,0.5602770682048871,0.2762962962962962962962962963,0.671111111111111111111111111,0.2859259259259259259259259259,1
corpora/elements_pp/e114_pp_wostw.txt,0.5329989102515853,0.3333333333333333333333333333,0.500000000000000000000000000,0.6666666666666666666666666665,0.8333333333333333333333333335,0.6280036017176446,0.3263723150357995226730310262,0.650357995226730310262529833,0.3490453460620525059665871122,1
corpora/elements_pp/e115_pp_wostw.txt,0.8571545032773551,0.2460317460317460317460317460,0.603174603174603174603174603,0.3253968253968253968253968254,0.984126984126984126984126984,0.8416165040385358,0.2512862728956575427042601358,0.6142553337449406599437469985,1.0,1.0
corpora/elements_pp/e116_pp_wostw.txt,0.6934267881051415,0.2916666666666666666666666666,0.1666666666666666666666666667,0.875,0.7083333333333333333333333335,0.6707976572816692,0.2790422000948316737790422001,0.5891417733522996680891417735,1.0,1.0
corpora/elements_pp/e117_pp_wostw.txt,0.8282406624887269,0.3088235294117647058823529412,0.4852941176470588235294117647,0.4264705882352941176470588235,0.838235294117647058823529412,0.8283577175866607,0.2603788794840790004030632810,0.5763804917372027408303103585,1.0,1.0
corpora/elements_pp/e118_pp_wostw.txt,0.8125512199504032,0.1428571428571428571428571428,0.2142857142857142857142857143,0.535714285714285714285714286,0.8214285714285714285714285715,0.8124216049967887,0.2047565960609438870308435526,0.605536975102192493496841323,1.0,1.0
corpora/elements_pp/e11_pp_wostw.txt,0.8112715730359357,0.2777777777777777777777777778,0.2222222222222222222222222222,0.3888888888888888888888888888,0.3333333333333333333333333333,0.7786334534117598,0.1654400942007653812187224021,0.5899322931998822490432734765,0.1654400942007653812187224021,1
corpora/elements_pp/e12_pp_wostw.txt,0.553766972521847,0.2,0.2,0.9,0.8,0.5551756740583855,0.3966827919834139599170697996,0.5708362128541810642709053215,0.4267449896337249481686247408,1
corpora/elements_pp/e13_pp_wostw.txt,0.7917963344393113,0.3611111111111111111111111111,0.4444444444444444444444444444,0.4166666666666666666666666666,0.750000000000000000000000000,0.7888549084933574,0.2027835977252319664771026638,0.6390302304699191858724932655,1.0,1.0
corpora/elements_pp/e14_pp_wostw.txt,0.5846893534084747,0.75,0.125,1,0.25,0.7210277081633117,0.3107806691449814126394052045,0.6892193308550185873605947955,1.0,1.0
corpora/elements_pp/e15_pp_wostw.txt,0.727394836153245,0.4186046511627906976744186046,0.5697674418604651162790697675,0.4534883720930232558139534884,0.883720930232558139534883721,0.7490953190858851,0.4043635472206900778329349758,0.5459336887908316479745051175,1.0,1.0
corpora/elements_pp/e16_pp_wostw.txt,0.7622584608250753,0.4435483870967741935483870968,0.5967741935483870967741935485,0.508064516129032258064516129,0.943548387096774193548387097,0.7542014955389287,0.3878216425801903419104688050,0.5847726471624955939372576665,1.0,1.0
corpora/elements_pp/e17_pp_wostw.txt,0.6905397913381633,0.5476190476190476190476190475,0.3809523809523809523809523810,0.619047619047619047619047619,0.738095238095238095238095238,0.7289183657377998,0.3600733979486214359649948245,0.5683636021454784981650512845,1.0,1.0
corpora/elements_pp/e18_pp_wostw.txt,0.8228900560179595,0.3409090909090909090909090909,0.3636363636363636363636363636,0.500000000000000000000000000,0.818181818181818181818181818,0.8146599778298553,0.2510176390773405698778833108,0.5340569877883310719131614655,1.0,1.0
corpora/elements_pp/e19_pp_wostw.txt,0.7542845093479402,0.500000000000000000000000000,0.3409090909090909090909090909,0.6363636363636363636363636365,0.7954545454545454545454545455,0.7521099214634572,0.3948834853090172239108409321,0.6099290780141843971631205675,1.0,1.0
corpora/elements_pp/e1_pp_wostw.txt,0.6948430867937573,0.34375,0.28125,0.6875,0.84375,0.6969594551311349,0.3132055187242429672101773876,0.5688944633578211790001791795,1.0,1.0
corpora/elements_pp/e20_pp_wostw.txt,0.7482438735313124,0.2777777777777777777777777778,0.4166666666666666666666666666,0.4444444444444444444444444444,0.750000000000000000000000000,0.7828545088693357,0.1704157617126900403350915296,0.650946323301272106732857586,1.0,1.0
corpora/elements_pp/e21_pp_wostw.txt,0.8136858311443025,0.2058823529411764705882352942,0.3529411764705882352941176471,0.4117647058823529411764705882,0.8235294117647058823529411765,0.8514673524445047,0.1575537704068411505571391552,0.572687224669603524229074890,1.0,1.0
corpora/elements_pp/e22_pp_wostw.txt,0.6038991161715255,0.4545454545454545454545454546,0.3636363636363636363636363636,0.7272727272727272727272727275,0.681818181818181818181818182,0.5861586254171192,0.4465040650406504065040650406,0.5925203252032520325203252035,1.0,1.0
corpora/elements_pp/e23_pp_wostw.txt,0.725956083528403,0.2272727272727272727272727272,0.1818181818181818181818181818,0.909090909090909090909090909,0.681818181818181818181818182,0.7669870105280576,0.3890713645864437145416542252,0.554493878769782024484920872,0.4395341893102418632427590325,1
corpora/elements_pp/e24_pp_wostw.txt,0.743133332852184,0.1071428571428571428571428572,0.2142857142857142857142857143,0.4642857142857142857142857142,0.7857142857142857142857142855,0.7779513991677651,0.2120454937101499224539031536,0.5512665862484921592279855245,1.0,1.0
corpora/elements_pp/e25_pp_wostw.txt,0.850317513566735,0.15,0.1,0.5,0.7,0.843134042116351,0.1809401159047005795235028976,0.557952350289761751448808757,0.1999356084996780424983902125,1
corpora/elements_pp/e26_pp_wostw.txt,0.29114826268714944,0.500000000000000000000000000,0.3333333333333333333333333334,0.500000000000000000000000000,0.3333333333333333333333333334,0.29195876215893196,0.3268581081081081081081081082,0.666385135135135135135135135,1.0,1.0
corpora/elements_pp/e27_pp_wostw.txt,0.8112441973784874,0.08333333333333333333333333335,0.2777777777777777777777777778,0.3055555555555555555555555556,0.6944444444444444444444444445,0.8355093839926819,0.1696974213742733641377254434,0.602623341779698911909375466,1.0,1.0
corpora/elements_pp/e28_pp_wostw.txt,0.9761904761904762,0,0,0,0.3333333333333333333333333333,0.984830520096471,0,0.5750070363073459048691246835,1.0,1.0
corpora/elements_pp/e29_pp_wostw.txt,0.8077259660102567,0,0,0.5625,0.625,0.7904302109555981,0.2090407470288624787775891341,0.581069609507640067911714771,0.3073005093378607809847198642,1
corpora/elements_pp/e2_pp_wostw.txt,0.6988574577737942,0.4166666666666666666666666666,0.550000000000000000000000000,0.5333333333333333333333333335,0.8333333333333333333333333335,0.7137887219467229,0.3790763344871561304427035890,0.6093095281472034979049007105,1.0,1.0
corpora/elements_pp/e30_pp_wostw.txt,0.6322236112050568,0.522727272727272727272727273,0.5,0.6363636363636363636363636365,0.772727272727272727272727273,0.6514330833481188,0.3826140019971152779318761788,0.6025740596915566404082991235,1.0,1.0
corpora/elements_pp/e31_pp_wostw.txt,0.6645064950875328,0.500000000000000000000000000,0.4117647058823529411764705882,0.6176470588235294117647058825,0.911764705882352941176470588,0.6843596843708966,0.3261949834358731661145291056,0.552295314718409843823946995,1.0,1.0
corpora/elements_pp/e32_pp_wostw.txt,0.7918756684685216,0,0,0.8333333333333333333333333335,0.6666666666666666666666666665,0.8105246366015497,0.2027369488089204257475924987,0.572731880385200202736948809,1.0,1.0
corpora/elements_pp/e33_pp_wostw.txt,0.799710826682516,0.3679245283018867924528301887,0.613207547169811320754716981,0.4339622641509433962264150943,0.9339622641509433962264150945,0.7868277920492195,0.3069092280139504194551795645,0.609718163823169007446507682,1.0,1.0
corpora/elements_pp/e34_pp_wostw.txt,0.6189127635831206,0.53125,0.53125,0.71875,0.78125,0.6233839107124782,0.4771134315548562437419539408,0.6238020311829495065083679015,1.0,1.0
corpora/elements_pp/e35_pp_wostw.txt,0.6583657380134973,0.4722222222222222222222222222,0.4444444444444444444444444444,0.638888888888888888888888889,0.9166666666666666666666666665,0.6571724189291044,0.3620973645680819912152269400,0.5766837481698389458272327965,1.0,1.0
corpora/elements_pp/e36_pp_wostw.txt,0.6541141781292972,0.5576923076923076923076923075,0.4615384615384615384615384616,0.653846153846153846153846154,0.653846153846153846153846154,0.6790171890172125,0.501566579634464751958224543,0.607310704960835509138381201,1.0,1.0
corpora/elements_pp/e37_pp_wostw.txt,0.77834557138661,0.4056603773584905660377358491,0.6415094339622641509433962265,0.4056603773584905660377358491,0.877358490566037735849056604,0.8102638644433802,0.3987407664468791829854741956,0.591889346090922611670219622,1.0,1.0
corpora/elements_pp/e38_pp_wostw.txt,0.7635041187123939,0.3947368421052631578947368421,0.596491228070175438596491228,0.4298245614035087719298245614,0.9824561403508771929824561405,0.7687187005448225,0.4144513137557959814528593508,0.5397733127253992787223080885,1.0,1.0
corpora/elements_pp/e39_pp_wostw.txt,0.6912657770986752,0.2,0.25,0.75,0.75,0.7652668828309963,0.2188498402555910543130990416,0.6293929712460063897763578275,1.0,1.0
corpora/elements_pp/e3_pp_wostw.txt,0.7148829306957074,0.3913043478260869565217391304,0.4347826086956521739130434783,0.543478260869565217391304348,0.934782608695652173913043478,0.7525807588968929,0.2660274278068904002675883599,0.569405730850707994202252202,1.0,1.0
corpora/elements_pp/e40_pp_wostw.txt,0.6278571932999357,0.5357142857142857142857142855,0.4285714285714285714285714286,0.7857142857142857142857142855,0.750000000000000000000000000,0.6534241938444394,0.4323599523241954707985697258,0.562773142630115216527612237,1.0,1.0
corpora/elements_pp/e41_pp_wostw.txt,0.6666666666666666,0,0,1,0.25,0.7050463043916946,0.2,0.6,0.2,1
corpora/elements_pp/e42_pp_wostw.txt,0.7639292695046876,0.3297872340425531914893617021,0.6808510638297872340425531915,0.4042553191489361702127659574,0.8723404255319148936170212765,0.7618521673819771,0.3364000943618778013682472282,0.6220020445073523629786899425,1.0,1.0
corpora/elements_pp/e43_pp_wostw.txt,0.8378754496676829,0.125,0.125,0.3125,0.625,0.8940172682774907,0.1159539473684210526315789474,0.616228070175438596491228070,1.0,1.0
corpora/elements_pp/e44_pp_wostw.txt,0.7497965633791095,0.4605263157894736842105263158,0.4473684210526315789473684211,0.5657894736842105263157894735,0.8684210526315789473684210525,0.7784506977258724,0.3157545919333459572050747964,0.554061730732815754591933346,1.0,1.0
corpora/elements_pp/e45_pp_wostw.txt,0.6958151691424326,0.15,0.1,0.65,0.55,0.6940627358227336,0.3052176263855095971884293052,0.6412543930792105974587726415,1.0,1.0
corpora/elements_pp/e46_pp_wostw.txt,0.758890212967491,0.3703703703703703703703703704,0.4444444444444444444444444444,0.4814814814814814814814814814,0.7962962962962962962962962965,0.7857719066829292,0.2481251735950374965280992501,0.5857790945282844181094343115,1.0,1.0
corpora/elements_pp/e47_pp_wostw.txt,0.7965425218639244,0.1363636363636363636363636364,0.0909090909090909090909090909,0.5454545454545454545454545455,0.772727272727272727272727273,0.8270324081713448,0.2134283570892723180795198800,0.594336084021005251312828207,1.0,1.0
corpora/elements_pp/e48_pp_wostw.txt,0.725375212287801,0.3666666666666666666666666666,0.2333333333333333333333333334,0.500000000000000000000000000,0.6666666666666666666666666665,0.7715520932023396,0.3113059408531797958649568176,0.5514263281863386548024077465,0.3595917299136351740382098927,1
corpora/elements_pp/e49_pp_wostw.txt,0.6106692473286738,0.3,0.6,0.4,0.8,0.5576803583638572,0.2984542211652794292508917955,0.6004756242568370986920332935,1.0,1.0
corpora/elements_pp/e4_pp_wostw.txt,0.7955500605585852,0.1111111111111111111111111111,0.1111111111111111111111111111,0.611111111111111111111111111,0.6666666666666666666666666665,0.8118451577232175,0.1639102185469580626107501476,0.5392793857058476077968103955,0.2421736562315416420555227407,1
corpora/elements_pp/e50_pp_wostw.txt,0.7495059836541017,0.3095238095238095238095238095,0.7023809523809523809523809525,0.3928571428571428571428571429,0.880952380952380952380952381,0.79796980526684,0.3547478658804893074012144680,0.639179794068467834198715128,1.0,1.0
corpora/elements_pp/e51_pp_wostw.txt,0.9285714285714286,0,0,0,0,0.9565859245022225,0,0.5711550733886407147415443525,0,1
corpora/elements_pp/e52_pp_wostw.txt,0.7727130062636516,0.4038461538461538461538461538,0.519230769230769230769230769,0.519230769230769230769230769,0.903846153846153846153846154,0.7809654733694809,0.3503470213996529786003470214,0.5431848852901484480431848855,1.0,1.0
