file,group,nb,%nb,%right
corpora/manifesto_pp/61320_199211_pp_wostw.txt,1,90,0.10727056019070322,0.7111111111111111
corpora/manifesto_pp/61320_199211_pp_wostw.txt,2,10,0.022779043280182234,0.6
corpora/manifesto_pp/61320_199211_pp_wostw.txt,3,55,0.08409785932721713,0.4
corpora/manifesto_pp/61320_199211_pp_wostw.txt,4,111,0.12388392857142858,0.5765765765765766
corpora/manifesto_pp/61320_199211_pp_wostw.txt,5,119,0.1456548347613219,0.453781512605042
corpora/manifesto_pp/61320_199211_pp_wostw.txt,6,56,0.06370875995449374,0.5
corpora/manifesto_pp/61320_199211_pp_wostw.txt,7,88,0.22506393861892582,0.19318181818181818
corpora/manifesto_pp/61320_199211_pp_wostw.txt,Overall,529,0.10762970498474059,0.4820415879017013
corpora/manifesto_pp/61320_200411_pp_wostw.txt,1,227,0.10553231055323105,0.5859030837004405
corpora/manifesto_pp/61320_200411_pp_wostw.txt,2,24,0.03498542274052478,0.5
corpora/manifesto_pp/61320_200411_pp_wostw.txt,3,70,0.06244424620874219,0.08571428571428572
corpora/manifesto_pp/61320_200411_pp_wostw.txt,4,174,0.15156794425087108,0.42528735632183906
corpora/manifesto_pp/61320_200411_pp_wostw.txt,5,220,0.10110294117647059,0.5909090909090909
corpora/manifesto_pp/61320_200411_pp_wostw.txt,6,65,0.043682795698924734,0.38461538461538464
corpora/manifesto_pp/61320_200411_pp_wostw.txt,7,182,0.22141119221411193,0.3791208791208791
corpora/manifesto_pp/61320_200411_pp_wostw.txt,Overall,962,0.10029190992493744,0.46673596673596673
corpora/manifesto_pp/61320_201211_pp_wostw.txt,1,303,0.08991097922848665,0.7227722772277227
corpora/manifesto_pp/61320_201211_pp_wostw.txt,2,28,0.025293586269196026,0.6428571428571429
corpora/manifesto_pp/61320_201211_pp_wostw.txt,3,109,0.09348198970840481,0.3302752293577982
corpora/manifesto_pp/61320_201211_pp_wostw.txt,4,347,0.11406969099276791,0.590778097982709
corpora/manifesto_pp/61320_201211_pp_wostw.txt,5,358,0.14954051796157058,0.5
corpora/manifesto_pp/61320_201211_pp_wostw.txt,6,90,0.056532663316582916,0.4444444444444444
corpora/manifesto_pp/61320_201211_pp_wostw.txt,7,309,0.21222527472527472,0.4174757281553398
corpora/manifesto_pp/61320_201211_pp_wostw.txt,Overall,1544,0.10929425921993347,0.5349740932642487
corpora/manifesto_pp/61320_201611_pp_wostw.txt,1,205,0.11761331038439472,0.4926829268292683
corpora/manifesto_pp/61320_201611_pp_wostw.txt,2,39,0.04225352112676056,0.5641025641025641
corpora/manifesto_pp/61320_201611_pp_wostw.txt,3,136,0.20148148148148148,0.13970588235294118
corpora/manifesto_pp/61320_201611_pp_wostw.txt,4,257,0.08314461339372371,0.5719844357976653
corpora/manifesto_pp/61320_201611_pp_wostw.txt,5,683,0.11936385879063265,0.6017569546120058
corpora/manifesto_pp/61320_201611_pp_wostw.txt,6,104,0.05287239450940519,0.3076923076923077
corpora/manifesto_pp/61320_201611_pp_wostw.txt,7,276,0.24954792043399637,0.39855072463768115
