file,group,nb,%nb,%right
corpora/manifesto_pp/61620_200811_pp_wostw.txt,Overall,986,0.0758986990993765,0.4148073022312373
corpora/manifesto_pp/61620_201211_pp_wostw.txt,1,92,0.0368442130556668,0.782608695652174
corpora/manifesto_pp/61620_201211_pp_wostw.txt,2,177,0.09375,0.480225988700565
corpora/manifesto_pp/61620_201211_pp_wostw.txt,3,334,0.14977578475336323,0.38622754491017963
corpora/manifesto_pp/61620_201211_pp_wostw.txt,4,149,0.043263646922183506,0.7315436241610739
corpora/manifesto_pp/61620_201211_pp_wostw.txt,5,123,0.055858310626702996,0.5203252032520326
corpora/manifesto_pp/61620_201211_pp_wostw.txt,6,154,0.06060606060606061,0.44155844155844154
corpora/manifesto_pp/61620_201211_pp_wostw.txt,7,98,0.07777777777777778,0.5408163265306123
corpora/manifesto_pp/61620_201211_pp_wostw.txt,Overall,1127,0.07016560826796164,0.5146406388642414
corpora/manifesto_pp/61620_201611_pp_wostw.txt,1,89,0.028289891926255563,0.7640449438202247
corpora/manifesto_pp/61620_201611_pp_wostw.txt,2,256,0.08207758897082398,0.46875
corpora/manifesto_pp/61620_201611_pp_wostw.txt,3,418,0.31594860166288735,0.16028708133971292
corpora/manifesto_pp/61620_201611_pp_wostw.txt,4,217,0.04587737843551797,0.7004608294930875
corpora/manifesto_pp/61620_201611_pp_wostw.txt,5,146,0.058283433133732535,0.4657534246575342
corpora/manifesto_pp/61620_201611_pp_wostw.txt,6,211,0.05393660531697342,0.5355450236966824
corpora/manifesto_pp/61620_201611_pp_wostw.txt,7,132,0.09806835066864784,0.3409090909090909
corpora/manifesto_pp/61620_201611_pp_wostw.txt,Overall,1469,0.07315372740401374,0.4309053778080327
