token,id,G1,G2,G3,G4
abad,1,0.03914367910191616,0.023515300394126346,0.9232391836215305,0.014101836882426937
abandon,2,0.048910047120612164,0.0024854161171887993,0.16365819068927573,0.7849463460729234
aberration,3,0.003934990585103695,0.0006701281278286748,0.0028293398322760616,0.9925655414547916
able,4,0.04473970540989809,0.0023597491825499244,0.1404233103037718,0.8124772351037802
abolition,5,0.06931728534306705,0.006075197522567563,0.8930751428662074,0.031532374268158
aboriginal,6,0.9779828613806753,0.006130166640072125,0.008948485101236692,0.006938486878015954
absence,7,0.011228017528686943,0.001060329870288084,0.012451366572757713,0.9752602860282673
absent,8,0.07242110965717119,0.5907177622404134,0.2663263003925845,0.07053482770983113
absolute,9,0.00383125214657773,0.00020778804323956263,0.007461102091050677,0.9884998577191321
abstraction,10,0.03367347212990205,0.0014161682698850906,0.004940537319363532,0.9599698222808493
acceleration,11,0.002276782495173435,0.0002852792361831819,0.001144057414836186,0.9962938808538072
accept,12,0.017625891890144633,0.0006868526145877968,0.43917216348109583,0.5425150920141718
accomplish,13,0.009254571105039045,0.0003493798674534138,0.9755152112274711,0.01488083780003642
accord,14,0.20674391673465004,0.008359513058196195,0.15145200417803284,0.633444566029121
accordingly,15,0.7001890375856581,0.002919056440372663,0.17982305248454564,0.11706885348942367
account,16,0.5075409692418279,0.002679157739018728,0.058566116994386325,0.43121375602476714
accustomed,17,0.30808509323927596,0.013452793903298286,0.2650961993694914,0.41336591348793433
acquire,18,0.08016809458466964,0.0059948927343816405,0.09153849350624094,0.8222985191747078
acquires,19,0.04897553868386595,0.008237197600111228,0.014933935887611084,0.9278533278284117
across,20,0.6768056734901893,0.25389975639131473,0.033414941460292245,0.035879628658203544
act,21,0.32107577657022424,0.003072056210334354,0.6568028618329009,0.019049305386540514
action,22,0.020346598029830697,0.0015176844626375136,0.2329063573437956,0.7452293601637362
activity,23,0.049115399946132454,0.0016783834108111447,0.026364655934437434,0.9228415607086189
adair,24,0.019165851170419843,0.04060418281516234,0.9352113878331584,0.00501857818125945
adapt,25,0.03428002629342651,0.0028061769074381538,0.03838836740866333,0.924525429390472
add,26,0.6360890739839686,0.00377593095624138,0.028639774403795466,0.33149522065599446
address,27,0.0328736240431077,0.002906540470102098,0.03323787096937935,0.9309819645174109
admirable,28,0.0129822618899938,0.0016514780267728897,0.9777025189267238,0.0076637411565095735
admire,29,0.04920735067043316,0.6362997098866402,0.2992369404628747,0.0152559989800519
admit,30,0.046326280608731285,0.0013666232119650572,0.5726345731574943,0.37967252302180937
admittedly,31,0.040452996352604964,0.002563854541270392,0.08985160929978861,0.8671315398063361
ado,32,0.06699167377745527,0.04563079719861167,0.8561260674668094,0.03125146155712343
advance,33,0.1844349834536803,0.006629212978604557,0.09405660493691154,0.7148791986308036
advanced,34,0.9593799097743423,0.0017203482627801152,0.009510644946448992,0.029389097016428656
advantage,35,0.019034661790296732,0.0014101056530707876,0.949015463012397,0.03053976954423547
