,token,lisa
0,flower,-0.038172709734369786
1,farm,0.11910022411174788
2,chapter,-0.0009628214241681427
3,introduction,0.02301195874715533
4,think,-0.02768914827615455
5,willow,-0.003992967614810217
6,farm,0.11345799296941791
7,today,0.03544613628002403
8,go,-0.006986653815673723
9,farmer,0.07392880845449044
10,field,0.031464296587471595
11,early,0.07486666761522176
12,spring,0.03357370034940395
13,saw,0.09534493502837045
14,men,0.028936332091010396
15,horse,0.04693110275967297
16,work,0.035390704578023846
17,plough,0.06337871590314512
18,harrow,0.0511143525085405
19,little,0.004844492813090089
20,later,0.05981181183943657
21,saw,0.07877686775121716
22,crop,0.04173699121631376
23,sown,0.02162385359350952
24,barley,0.026388178482884182
25,turnip,0.010515598608757663
26,summer,0.03832413595310908
27,cornfield,0.05047974031440035
28,later,0.046326667323695024
29,still,0.022275014714504895
30,saw,0.06940658321345257
31,rick,0.0238832812310638
32,make,-0.0013743364031329006
33,today,0.012607057166265359
34,willow,-0.004636818852816741
35,farm,0.07754492838067917
36,want,0.007802898396071146
37,show,0.001715350628081087
38,flower,-0.026077248210765885
39,grow,0.016806749261449518
40,mean,-0.012328290090053881
41,mr,0.03168885076120883
42,hammond,0.01297532023381456
43,farmer,0.05870458196999151
44,wife,0.03356447919796057
45,grow,0.02165796389128902
46,garden,0.018717145267479834
47,pretty,0.018893615669707695
48,look,0.02143608377641048
49,rather,-0.02310030347568597
50,wild,-0.006393647625934948
51,flower,-0.025153333132867654
52,field,-0.014857889988027685
53,hedge,-0.006960504440428966
54,roadside,-0.005858680487180585
55,lane,0.0016352505662874143
56,one,-0.00020105371199895372
57,sow,-0.006740985127407381
58,seed,-0.036828136762749805
59,take,0.027460958755963907
60,care,0.026664311164104098
61,way,0.033952898665717254
62,yet,0.0421092179616725
63,grow,0.02078621275434768
64,blossom,-0.025275535153968402
65,year,0.025481836680893252
66,year,0.026051127500386063
67,nearly,-0.0012066605502318746
68,beautiful,0.028272491517510847
69,begin,0.015463025803016377
70,look,0.06208395466467839
71,must,0.02682018040070824
72,make,0.05871088701027514
73,sure,0.06483453054170657
74,quite,0.03785215454076806
