,token,lisa
0,duty,-0.02179062894100661
1,civil,0.04823939672533365
2,disobedience,0.01900574469613084
3,heartily,-0.009644908696349036
4,accept,-0.003949852899784569
5,motto,0.0032604183351422596
6,government,0.1624543375405348
7,best,0.03280241888830629
8,governs,0.0702974193584338
9,least,0.005388700742522575
10,like,-0.023871074086995018
11,see,-0.015057944472115406
12,act,0.03917563409970255
13,rapidly,0.008057037198907945
14,systematically,0.03673007303693727
15,carry,-0.0003471887460193636
16,finally,0.001960548699131771
17,amount,-0.00531385753398742
18,also,0.037903917156685736
19,government,0.11056985854995531
20,best,0.029303064885734177
21,governs,0.0362462609392434
22,men,-0.03286503788460914
23,prepare,0.02355312103451173
24,kind,-0.03323510347790521
25,government,0.11807902295526647
26,government,0.11705929168464703
27,best,0.02371535308743876
28,expedient,0.0022646851943248065
29,government,0.14723607052030224
30,usually,0.036925409947788944
31,government,0.1453293199621263
32,sometimes,0.026468420743044313
33,inexpedient,0.0047889961216920265
34,objection,-0.017252772891304814
35,bring,0.013707055990368639
36,stand,0.027803286234449394
37,army,0.04248113664489822
38,many,0.02891586485333898
39,weighty,-0.019670263546848383
40,deserve,-0.02061289085935815
41,prevail,-0.005363833341131647
42,may,-0.01438099320249842
43,also,0.02384777143014102
44,last,-0.012150443265671352
45,bring,-0.0029267101582539845
46,stand,0.03574727938122414
47,government,0.10649503142499495
48,stand,0.05614141854910751
49,army,0.03929794235166026
50,arm,-0.004587387129446952
51,standing,0.009753849183681261
52,government,0.09166047663257976
53,government,0.09619213796699301
54,mode,-0.011992566644388171
55,people,0.026459683471484228
56,choose,-0.007974495268094803
57,execute,0.009358352580151849
58,equally,-0.002402218934781925
59,liable,-0.004538042247024561
60,abuse,-0.004159372735363872
61,perverted,-0.034709520000192
62,people,0.027463177251064376
63,act,0.010171602466436488
64,witness,0.0025684427399801308
65,present,-0.009066037302777726
66,mexican,0.015479278725112492
67,war,0.009714145557155378
68,work,0.010220213698601191
69,comparatively,-0.005854410363600506
70,individual,0.026253715638546057
71,use,0.02564290631683007
72,stand,0.01311770996242381
73,government,0.023215597148714896
74,tool,0.02514295359424425
75,outset,-0.00364905891792189
76,people,0.04139264868657628
77,would,-0.024376340383602202
78,consent,-0.010001461321339604
79,measure,0.015598475313189511
80,american,0.010550811576219152
81,tradition,0.0010963656191102617
82,though,-0.016851562315084827
83,recent,0.010207633731290877
84,one,0.00940395601278788
85,endeavor,0.0038532650634857525
86,transmit,0.008011806374191346
87,unimpaired,0.03477440771365382
88,posterity,-0.004808290845707136
89,instant,-0.0011368797817439661
90,losing,-0.013069465137265614
91,integrity,0.018152377815885693
92,vitality,0.021612748281127588
93,force,0.005419166521111712
94,single,0.031832104885428654
95,living,-0.0037481088401232657
96,man,0.0026012332715039527
97,single,0.021414878444367264
98,man,-0.0010164078828184782
99,bend,-0.011830934122107586
100,sort,-0.0022900599742018656
101,wooden,0.011185021121649489
102,gun,-0.0036953081194655694
103,people,0.010772630527204804
104,less,0.0060454959969900995
105,necessary,0.037638634404564456
106,people,0.011476385841206107
107,must,0.02234194733527535
108,complicate,0.0015536250936599803
109,machinery,0.023191353782778083
110,hear,-0.05221281959669199
111,din,-0.0007954812063568921
112,satisfy,0.0058129157330675035
113,idea,0.000590299420778986
114,government,0.01208002190320201
115,government,0.016575012807540156
