token,lisa
abdomen,0.15440439795285604
able,0.025732057132955427
aboriginal,0.016611821072052915
aborigine,0.028104605692879578
abound,-0.01691580699250086
accidental,-0.0062972349769658854
accompany,0.008400268184792635
accomplish,-0.04254502951173628
accord,-0.0034839644701120712
accordingly,0.004308460958382895
account,0.03384442046784185
ache,0.021772120043000567
acquaint,0.01717573449763084
across,0.10001164576358548
act,0.031373297087536424
activity,0.0002297271938093013
adair,0.0784075341461689
add,0.0027310465337853224
adhere,-0.006266668501483149
admiration,0.06333891636297903
admit,0.04705436588664925
adorn,0.0007192950586508563
advance,0.003449721595102339
advanced,0.04514409926170538
advantage,0.0420233452070805
adventure,-0.0033142871671714776
afterward,-0.010235493172951839
afterwards,-0.016126159363016257
againe,0.05686112856911736
age,0.0003809343253208925
agency,0.09136717165344788
ago,0.013406571293352999
aid,0.029551243470084018
air,0.001972008492101512
alabama,-0.007150944963907376
albany,0.02018393900081413
alliance,0.037689023383296695
almost,0.01818527436841834
alone,-0.012388153409216776
along,0.014943419189671951
alongside,-0.00111263433269163
already,0.02664512946625366
also,-0.016835584356265303
altar,0.04146306383100033
alternate,0.06757893906290871
alternately,0.06875805952570062
although,0.09651731679621545
altogether,0.015388580483816871
alton,0.024757057610310964
alum,0.026384398921403634
ambitious,0.0315485692530723
america,0.13246309735359016
american,0.01744445957660894
among,0.09441221952095571
ample,0.016435244499494506
amply,0.04304178199781793
analysis,0.09460009778618776
ancient,0.44032895833441965
ancon,0.0031694148728933958
angle,0.023658946018341447
animal,0.07216872464161207
ankle,0.07497080073031111
annual,0.06801359285997456
another,0.009134199166219676
anse,0.03383626235051817
answer,-0.0016955882199656564
antiquarian,0.01701492181643422
anything,0.027612261753220953
apart,0.11401659692978036
apocynum,0.1027151426003011
apparel,-0.0072796663228050255
apparell,0.025573765160362007
apparent,0.023294509157039296
apparently,-0.013663135487532995
appear,0.1248989704091868
appearance,0.0552554855238038
application,0.00044298924398154956
applied,0.047611906635294216
apply,-0.035450246240701526
arbor,0.02053392774842058
archaic,0.08545783671792434
archeologic,0.17638736570066316
archeologist,0.05142465333495665
archeology,0.16517003202123048
architecture,0.0018952251849089744
arduous,0.0215885557421638
area,0.08339768551753976
arkansas,-0.02057913075790017
arm,0.049860119067549405
around,0.08666480169718759
arrange,-0.039491111870810544
