,token,lisa
0,prehistoric,0.006999397985560755
1,textile,0.020134640634143983
2,art,0.08976866475946746
3,eastern,0.03312302722238421
4,united,0.05000251510405513
5,state,0.043357156909693835
6,introductory,0.055904330167723316
7,scope,0.029619530044001956
8,work,0.029854178185226145
9,year,0.027189812417140444
10,writer,0.06500096299767319
11,request,0.045383192888475796
12,director,0.08815099250772658
13,bureau,0.07771873482514077
14,ethnology,0.09571683479538755
15,prepare,0.022324457623378757
16,certain,-0.019069754958731602
17,paper,0.01871132067417524
18,aboriginal,0.0371933458462798
19,art,0.10039166165394288
20,accompany,0.013452940421878131
21,final,0.012469090746018988
22,report,0.06792656569383596
23,dr,0.06993775489706142
24,cyrus,0.02265768046191711
25,thomas,0.029897649393849476
26,exploration,0.06697151586599066
27,mound,-0.0016707389000029348
28,ancient,0.014813080132016819
29,remain,-0.01406420599287733
30,eastern,0.019465421605697125
31,united,0.03128666986857313
32,state,0.025357074557318192
33,paper,0.06533978260321607
34,treat,-0.013942332301217901
35,art,0.10869968666345532
36,represent,0.0017403027215760528
37,fully,0.011842830566960847
38,relic,-0.006099139461718221
39,recover,0.006121488070439884
40,field,0.015419637105230538
41,explore,0.035791321729192825
42,included,0.027528031328929708
43,study,0.06331190806086374
44,art,0.09406571538386228
45,pottery,0.02566811471932533
46,textile,0.03765936497702598
47,art,0.0741665233513628
48,art,0.07462658585387735
49,paper,0.07656428494677951
50,native,0.007309623810321087
51,tobacco,0.013986923446760892
52,pipe,-0.021274568236671322
53,three,-0.004375580489878523
54,paper,0.0837079440984716
55,already,0.00887290144999353
56,complete,0.012865754706974151
57,decided,0.02485989637121364
58,issue,0.04603968636033196
59,main,0.0053785873805117825
60,work,0.04821970937916716
61,dr,0.019118773593367635
62,thomas,0.006083417084629514
63,independently,0.03499308323941927
64,several,0.019868095547883127
65,paper,0.10510426121225606
66,prepare,0.004206580594488317
67,associate,0.016914439379403273
68,thus,0.0008161293908080493
69,happen,-0.024058582563821384
70,present,0.00017546004042222457
71,paper,0.10530511870222799
72,write,0.037336380545174935
73,form,-0.006253806516424175
74,limited,0.0425298152738556
75,section,0.016553577164106794
76,work,0.05619531623669034
77,restrict,0.02302700861822492
78,narrow,-0.02641117839206735
79,geographic,0.013600973818008075
80,limit,0.01831013968206501
81,cover,0.007597232903375796
82,small,-0.010789545445250152
83,fragment,-0.007145618891272886
