token,lisa
able,-0.013498312575621785
absent,0.021151122562034174
accident,0.00691322903375468
across,0.02485733895874151
add,-0.003266197913920234
admire,0.16627627092609046
advise,0.02403959270926421
afraid,0.16529693606998255
afternoon,0.008658428821644805
afterwards,0.06120281421317103
ago,0.08915335872875205
air,0.01905413691045872
aira,0.009135907439752384
alike,0.016951940066369006
alive,0.04860813066294094
alkanet,0.05669740344518384
allow,0.12402734964271932
almond,0.05724759097011232
almost,-0.020797718753341965
alone,-0.07481954821083742
along,-0.016464886526128958
already,0.016952898504553997
alsike,-0.024768084461357937
also,-0.10066210121096411
alternately,0.14966601834987187
although,0.00933524922767636
altogether,0.009029083935202315
always,0.02781920943790569
america,0.016172172203924563
among,0.056744979635643046
anemone,0.10155736488759962
angle,0.03146992577857108
angular,0.03354864821244688
animal,-0.000975194833390731
annual,0.3331204945607413
another,0.13850807853313313
anyone,0.0647622785877378
anything,-0.02502330967440268
anywhere,0.010462520987925626
apace,0.01759884832080366
apartment,0.040755189486012894
appear,-0.04620935189288979
appearance,0.02024696750204289
apple,0.04127794876114713
april,-0.02070742629348902
arrange,-0.024794423103608024
ashmead,0.0795157718423328
ask,0.14874293996281995
attach,0.04320326545372168
autumn,0.13829314361972703
avoid,0.006062661009608813
away,0.2888358871673865
awn,0.04903518131969718
back,0.021948783668182648
bad,0.0654108212845343
bailiff,0.05919827152052027
ball,0.06806211326494603
bank,0.06805073541443488
bare,0.0022195497944729257
barley,0.026388178482884182
barn,0.13024215298263214
barren,-0.015098848338196521
base,0.10363730502903563
basketful,0.010090173942172724
bathe,0.015321306378803794
battersea,0.027738512620038853
bean,0.023643723210046236
bear,0.057558011213876305
beard,0.008541473039914744
beat,0.021007817318143253
beautiful,0.30226042717061935
beauty,0.010238746110203803
become,0.050092068923318085
bed,0.03894835660158101
bee,0.15539717998538266
beech,0.08931658647608946
beer,0.042568732428686994
begin,0.015463025803016377
behind,0.03929252959441971
belief,0.05247288373313328
believe,0.17261353468527668
believed,0.06602447330423171
bell,-0.004937522238003743
belong,0.00452358396302999
belongs,0.011115138842618347
ben,0.024463367287066412
bent,0.00770165173246035
berry,-0.0006736970275003118
beside,0.007949705411736827
besides,-0.0727465446062544
best,0.0366235421769327
beyond,-0.003964249907132702
big,0.06681307362861302
billy,0.0330966433633332
bindweed,0.5648140174772837
bite,0.04249621384445604
biting,-0.008192440840629346
bitter,0.0497740810530701
black,0.060445807291800914
blade,0.03658540567942073
blame,0.06723913046462468
blaze,0.03630847123846294
bloom,0.02804939421964962
blossom,1.5849494152568007
blow,0.14816857071824485
blue,0.44161890410380633
bluebottle,0.019799990065350354
bluegreen,-0.007697923722322997
blunt,0.04655041615752534
bog,0.0047808121497815
boil,0.023835456920207436
book,-0.012937877980418665
borage,0.07172926498715954
bottom,0.0780025967612819
bough,0.014749827152305908
box,0.02268486131344652
branch,0.06129134626759341
bread,0.022989826827843295
break,0.033882876227862124
breakfast,0.044517463263661176
breeze,0.03401811512352987
brick,0.06962252458219714
bright,0.12424505701076166
brighter,0.005422039522024352
brilliant,0.006221993931074519
bring,-0.007373204833355906
bristly,-0.00969074244745882
broad,0.15084542784998586
broadcast,-0.00041823636219052366
brought,0.05243743743194099
brown,0.4124918641867992
bruise,-0.012217683728376146
bud,0.2096331968475723
build,0.09689192870809588
bulbous,0.03740282021716299
bunch,-0.009644294111341357
burn,0.18564848681925367
burnt,0.15666028142687893
bury,-0.010560401270557544
bush,0.20666272192065954
bushy,0.03332278639853232
busy,0.018004299071443693
butter,0.01005379268608014
buttercup,0.2725671036476696
calf,-0.0038208130664610456
call,-0.059253017633771166
calve,0.04261244734414286
calyx,0.5372156742285213
care,0.03707612041635054
careful,0.04406414426003592
carefully,0.044505423579013215
careless,0.03764788608971457
carpet,-0.001221660980333353
carry,-0.007601551353692743
carthorse,0.002278340103517255
case,0.0047648492445219095
cat,0.020715923891787225
catch,-0.045521575747053
catkin,0.20863411331681508
cattle,0.3981854497020463
cause,0.049047151251011285
centre,-0.014863881571677008
certain,0.0014470175944845212
certainly,0.2163239075755563
chaff,0.002191451570280913
chapter,0.026487394321727777
charlock,0.2914034581425674
chase,0.5365195175860193
chemist,0.04819460702659729
chew,0.019886043147212196
chiefly,0.0024741350130529785
child,0.0033261521034426995
chink,0.011188945931432479
choose,0.004029031121069166
chop,0.04114376724213722
christian,0.03447210122929429
church,0.01488066252132662
circular,0.04554392112409333
claw,-0.018410399832050593
clean,0.02364517140497841
clear,-0.02137809717646608
clever,0.028213272559551143
climb,0.19655193942231453
climbed,0.03721893201720995
climbing,-0.005441599167190079
cling,0.26000199639335503
close,0.06997121348114568
closely,0.011368948352785702
closer,-0.002026356235377854
clover,1.8797249443988737
clump,0.04504627343793303
cluster,0.4477113215661044
cocksfoot,0.14111501492108877
cold,0.04927561759132479
collect,0.010500166502627849
colour,0.5547516010413871
come,-0.00573751392562797
common,0.014812600041738304
compact,0.011605705627690907
comparatively,-0.031987806913603194
compare,-0.008110726382786619
compose,0.005730636338899248
composite,-0.007445869557568721
cone,0.039339448742611305
connect,0.1271434074061831
consist,0.0400668311704749
constantly,0.05142817612580281
contain,0.03964279816512765
contains,-0.0039710530536067965
continue,-0.009217926603001204
continued,-0.01166461367301498
contrast,-0.014417756318148837
convolvulus,-0.006425813772440586
coppice,0.1482267558542696
corn,0.17312022137098174
corner,0.03063418674563394
cornfield,0.12466120172524275
corolla,0.3035954914042622
corrupt,-0.013851528662762477
cot,0.013672488371471675
cottage,0.03313998907550289
could,0.22959843091287063
country,0.08462821119598744
