input_file,n_groups,n_tests,use_prior,chunk_size,nmi,pk,pk_rdm,wd,wd_rdm
corpora/elements_pp/e100_pp_wostw.txt,9,10,False,156,0.5461200013903265,0.4867492850333651096282173498,0.5772163965681601525262154431,0.6526692087702573879885605338,1
corpora/elements_pp/e101_pp_wostw.txt,7,10,False,156,0.5526465108899757,0.4996621621621621621621621621,0.5743243243243243243243243241,0.5152027027027027027027027027,1
corpora/elements_pp/e102_pp_wostw.txt,8,10,False,156,0.6596463105017967,0.410472972972972972972972973,0.572635135135135135135135135,0.4239864864864864864864864865,1
corpora/elements_pp/e103_pp_wostw.txt,11,10,False,156,0.5056240161411427,0.5417748917748917748917748918,0.5692640692640692640692640691,0.5772727272727272727272727272,1
corpora/elements_pp/e104_pp_wostw.txt,7,10,False,156,0.6413806780921468,0.425888324873096446700507614,0.5736040609137055837563451779,0.438578680203045685279187817,1
corpora/elements_pp/e105_pp_wostw.txt,9,10,False,156,0.44467982196248546,0.6047674418604651162790697675,0.6627906976744186046511627909,0.7458139534883720930232558139,1
corpora/elements_pp/e106_pp_wostw.txt,2,10,False,156,0.047616107225442426,0.3557377049180327868852459016,0.672131147540983606557377049,0.3557377049180327868852459016,1
corpora/elements_pp/e107_pp_wostw.txt,3,10,False,156,0.0,0.4,0.6,0.4,1
corpora/elements_pp/e108_pp_wostw.txt,4,10,False,156,0.16576457549732837,0.5266666666666666666666666668,0.56,0.5526666666666666666666666668,1
corpora/elements_pp/e109_pp_wostw.txt,3,10,False,156,0.3233882441987921,0.6140468227424749163879598663,0.598662207357859531772575251,0.6595317725752508361204013379,1
corpora/elements_pp/e10_pp_wostw.txt,8,10,False,156,0.6301786135247858,0.3253772290809327846364883401,0.6076817558299039780521262001,0.3828532235939643347050754458,1
corpora/elements_pp/e110_pp_wostw.txt,4,10,False,156,0.4633011551978095,0.407179487179487179487179487,0.5743589743589743589743589741,0.4358974358974358974358974358,1
corpora/elements_pp/e111_pp_wostw.txt,2,10,False,156,4.822405731806397e-16,0.3396226415094339622641509431,0.6603773584905660377358490569,0.3396226415094339622641509431,1
corpora/elements_pp/e112_pp_wostw.txt,1,10,False,156,1.0,0,0,0,0
corpora/elements_pp/e113_pp_wostw.txt,4,10,False,156,0.1386662314174305,0.4549382716049382716049382714,0.672839506172839506172839506,0.4549382716049382716049382714,1
corpora/elements_pp/e114_pp_wostw.txt,3,10,False,156,0.0,0.3592233009708737864077669901,0.6407766990291262135922330099,0.3592233009708737864077669901,1
corpora/elements_pp/e115_pp_wostw.txt,9,10,False,156,0.49338105383213354,0.505478036175710594315245478,0.612403100775193798449612403,0.6085788113695090439276485788,1
corpora/elements_pp/e116_pp_wostw.txt,8,10,False,156,0.5417198791749551,0.5112754158964879852125693161,0.5951940850277264325323475049,0.5330868761552680221811460258,1
corpora/elements_pp/e117_pp_wostw.txt,10,10,False,156,0.5173562161652298,0.5724818276220145379023883697,0.5726895119418483904465212879,0.6750259605399792315680166147,1
corpora/elements_pp/e118_pp_wostw.txt,8,10,False,156,0.5629247099765117,0.4843426883308714918759231903,0.607090103397341211225997046,0.5214180206794682422451994093,1
corpora/elements_pp/e11_pp_wostw.txt,8,10,False,156,0.530344514798845,0.4213808463251670378619153676,0.5902004454342984409799554569,0.459910913140311804008908686,1
corpora/elements_pp/e12_pp_wostw.txt,4,10,False,156,0.40402177007162104,0.475806451612903225806451613,0.5645161290322580645161290321,0.4924731182795698924731182796,1
corpora/elements_pp/e13_pp_wostw.txt,7,10,False,156,0.5145188618089672,0.525955967555040556199304751,0.639629200463499420625724218,0.5521436848203939745075318656,1
corpora/elements_pp/e14_pp_wostw.txt,3,10,False,156,0.21044962421371669,0.4641618497109826589595375721,0.6936416184971098265895953759,0.4890173410404624277456647397,1
corpora/elements_pp/e15_pp_wostw.txt,10,10,False,156,0.5260419208559138,0.4825373854317414375301495417,0.5479980704293294741919922819,0.6177520501688374336710082006,1
corpora/elements_pp/e16_pp_wostw.txt,11,10,False,156,0.5609224642562853,0.4434068512435476302205537306,0.577193805725011731581417175,0.5813233223838573439699671515,1
corpora/elements_pp/e17_pp_wostw.txt,9,10,False,156,0.555807439988607,0.4658144631117604090577063551,0.5777940102264426588750913078,0.5426588750913075237399561723,1
corpora/elements_pp/e18_pp_wostw.txt,9,10,False,156,0.577921146707198,0.6044164037854889589905362776,0.533123028391167192429022082,0.6644584647739221871713985279,1
corpora/elements_pp/e19_pp_wostw.txt,11,10,False,156,0.5660445930586653,0.414377406931964056482670090,0.611039794608472400513478819,0.4382541720154043645699614891,1
corpora/elements_pp/e1_pp_wostw.txt,9,10,False,156,0.5537936035055164,0.5313413014608233731739707834,0.5723771580345285524568393091,0.5658698539176626826029216466,1
corpora/elements_pp/e20_pp_wostw.txt,8,10,False,156,0.48488374134713574,0.5276570048309178743961352658,0.649758454106280193236714976,0.5528985507246376811594202899,1
corpora/elements_pp/e21_pp_wostw.txt,8,10,False,156,0.5747652555851528,0.4567432567432567432567432568,0.5674325674325674325674325671,0.5563436563436563436563436562,1
corpora/elements_pp/e22_pp_wostw.txt,6,10,False,156,0.4680868722852941,0.4528255528255528255528255528,0.5823095823095823095823095821,0.4882063882063882063882063881,1
corpora/elements_pp/e23_pp_wostw.txt,8,10,False,156,0.5751057333353683,0.4548309178743961352657004831,0.553140096618357487922705314,0.4780193236714975845410628019,1
corpora/elements_pp/e24_pp_wostw.txt,7,10,False,156,0.5334074645303913,0.5485094850948509485094850946,0.5542005420054200542005420051,0.6287262872628726287262872628,1
corpora/elements_pp/e25_pp_wostw.txt,8,10,False,156,0.5235728489231861,0.4272727272727272727272727273,0.5584415584415584415584415581,0.4475324675324675324675324676,1
corpora/elements_pp/e26_pp_wostw.txt,2,10,False,156,0.08690752473802274,0.5333333333333333333333333333,0.6666666666666666666666666669,0.5666666666666666666666666667,1
corpora/elements_pp/e27_pp_wostw.txt,10,10,False,156,0.6429306708641265,0.4336437718277066356228172293,0.599534342258440046565774156,0.4747380675203725261932479626,1
corpora/elements_pp/e28_pp_wostw.txt,7,10,False,156,0.6592697796038479,0.3661016949152542372881355934,0.580508474576271186440677966,0.4197033898305084745762711864,1
corpora/elements_pp/e29_pp_wostw.txt,7,10,False,156,0.45501019536946374,0.4003412969283276450511945392,0.5733788395904436860068259389,0.4744027303754266211604095565,1
corpora/elements_pp/e2_pp_wostw.txt,8,10,False,156,0.49005334827048574,0.5197378004369992716678805534,0.6045156591405680990531682449,0.630662782228696285506190823,1
corpora/elements_pp/e30_pp_wostw.txt,6,10,False,156,0.45344260817431203,0.5370201096892138939670932359,0.601462522851919561243144424,0.566544789762340036563071298,1
