input_file,n_groups,n_tests,use_prior,chunk_size,nmi,pk,pk_rdm,wd,wd_rdm
corpora/cities_pp/c100_pp_wostw.txt,15,20,False,292,0.5483970290022829,0.5258369275005134524543027315,0.53686588621893612651468474,0.7279318135140685972478948445,1
corpora/cities_pp/c10_pp_wostw.txt,11,20,False,292,0.5332140756917776,0.5020052770448548812664907655,0.6569920844327176781002638515,0.5574670184696569920844327175,1
corpora/cities_pp/c11_pp_wostw.txt,11,20,False,292,0.5117142114474571,0.5097979179424372320881812615,0.624004898958971218616044091,0.640416411512553582363747703,1
corpora/cities_pp/c12_pp_wostw.txt,13,20,False,292,0.5308463525540505,0.554411764705882352941176471,0.5996135680549592099613568065,0.7054422498926577930442249895,1
corpora/cities_pp/c13_pp_wostw.txt,13,20,False,292,0.5082358224606229,0.54589800443458980044345898,0.639024390243902439024390243,0.695576496674057649667405765,1
corpora/cities_pp/c14_pp_wostw.txt,12,20,False,292,0.6133205582006621,0.4054354354354354354354354354,0.5933933933933933933933933925,0.4824324324324324324324324325,1
corpora/cities_pp/c15_pp_wostw.txt,7,20,False,292,0.49831718358458027,0.512167952013710368466152528,0.577549271636675235646958012,0.5650814053127677806341045415,1
corpora/cities_pp/c16_pp_wostw.txt,16,20,False,292,0.5884686782033468,0.4629241071428571428571428572,0.525892857142857142857142857,0.677209821428571428571428572,1
corpora/cities_pp/c17_pp_wostw.txt,13,20,False,292,0.603242472260753,0.4360455764075067024128686326,0.5975871313672922252010723865,0.5643833780160857908847184985,1
corpora/cities_pp/c18_pp_wostw.txt,11,20,False,292,0.5943565134609784,0.4938614365766683647478349465,0.5894039735099337748344370865,0.6019358125318390219052470705,1
corpora/cities_pp/c19_pp_wostw.txt,11,20,False,292,0.5536037549462252,0.5848214285714285714285714285,0.574874686716791979949874687,0.687969924812030075187969925,1
corpora/cities_pp/c1_pp_wostw.txt,10,20,False,292,0.4851178218193416,0.4891266827752847773558853987,0.6527442181567138419054193995,0.612115982050396962374870556,1
corpora/cities_pp/c20_pp_wostw.txt,14,20,False,292,0.5916465601745269,0.5218968692449355432780847145,0.555064456721915285451197053,0.654014732965009208103130756,1
corpora/cities_pp/c21_pp_wostw.txt,10,20,False,292,0.46848673889639736,0.4668878166465621230398069964,0.6308805790108564535585042215,0.4939686369119420989143546441,1
corpora/cities_pp/c22_pp_wostw.txt,11,20,False,292,0.43496016800872467,0.5578293528505392912172573185,0.6305855161787365177195685675,0.7317507704160246533127889055,1
corpora/cities_pp/c23_pp_wostw.txt,11,20,False,292,0.48112921586006846,0.552459739686741672181778072,0.57533642179572027354952570,0.7215640855945290094859916165,1
corpora/cities_pp/c24_pp_wostw.txt,7,20,False,292,0.4102095271097026,0.4709245742092457420924574207,0.6034063260340632603406326025,0.5027980535279805352798053525,1
corpora/cities_pp/c25_pp_wostw.txt,11,20,False,292,0.5197507892925006,0.496347576987347815707806159,0.555263786106469324421102888,0.648746717593697779899737408,1
corpora/cities_pp/c26_pp_wostw.txt,13,20,False,292,0.5280105009891111,0.552924660739354234908750585,0.5701918577445016378100140385,0.7124590547496490407112774925,1
corpora/cities_pp/c27_pp_wostw.txt,15,20,False,292,0.674815569616487,0.4438107176433719837041679723,0.522720150423064869946725164,0.5709808837355061109370103415,1
corpora/cities_pp/c28_pp_wostw.txt,15,20,False,292,0.5912537827177088,0.532813865423827556073405185,0.5898630935042237110399067875,0.669094086804544130498106612,1
corpora/cities_pp/c29_pp_wostw.txt,13,20,False,292,0.541836922439871,0.5201747418586179507545671165,0.5639396346306592533756949965,0.632545671167593328038125496,1
corpora/cities_pp/c2_pp_wostw.txt,15,20,False,292,0.5438043258246918,0.5344693701466781708369283865,0.5585274662064998561978717285,0.673094621800402645959160196,1
corpora/cities_pp/c30_pp_wostw.txt,13,20,False,292,0.4942299974396424,0.5128126737076153418565869925,0.565869927737632017787659811,0.7035945895868074856401704645,1
corpora/cities_pp/c31_pp_wostw.txt,14,20,False,292,0.6489906547543187,0.4280085522296884544899205864,0.6224801466096518020769700675,0.5660048869883934025656689065,1
corpora/cities_pp/c32_pp_wostw.txt,14,20,False,292,0.5093079016627423,0.5430737640183225398831148315,0.61522666245458853261728005,0.733185910598641604801769072,1
corpora/cities_pp/c33_pp_wostw.txt,14,20,False,292,0.5771666994946616,0.52350416871015203531142717,0.563756743501716527709661599,0.672731731240804315841098578,1
corpora/cities_pp/c34_pp_wostw.txt,14,20,False,292,0.5311606190913537,0.540750528541226215644820296,0.5871035940803382663847780125,0.701997885835095137420718816,1
corpora/cities_pp/c35_pp_wostw.txt,10,20,False,292,0.5300378639697152,0.4915844838921761998685075608,0.56180144641683103221564760,0.6196416831032215647600262985,1
corpora/cities_pp/c36_pp_wostw.txt,16,20,False,292,0.5865620089003063,0.4704524886877828054298642533,0.5723981900452488687782805425,0.5550452488687782805429864255,1
corpora/cities_pp/c37_pp_wostw.txt,16,20,False,292,0.578883270904259,0.5067410905968226706741090595,0.598969514813224559896951481,0.601373980249033920137398025,1
corpora/cities_pp/c38_pp_wostw.txt,11,20,False,292,0.5783669686759918,0.51128003003003003003003003,0.523273273273273273273273273,0.6432620120120120120120120115,1
corpora/cities_pp/c39_pp_wostw.txt,15,20,False,292,0.6249911337818563,0.574209427207637231503579953,0.587410501193317422434367542,0.6652893794749403341288782815,1
