input_file,known_label_ratio,sim_tag,n_groups,fold_id,dist_option,exch_mat_opt,exch_range,alpha,beta,kappa,nmi_train,nmi_test,mean train,IC95 train,mean test,IC95 test
mix_word3.txt,0,lch,4,1,max_minus,d,3,5,100,0,0.039630811278743,0.024758328986499,,,,
mix_word3.txt,0,lch,4,2,max_minus,d,3,5,100,0.5,0.039541886158223,0.021848345561206,,,,
mix_word3.txt,0,lch,4,3,max_minus,u,3,2,50,0.5,0.038276421931114,0.02507874017134,,,,
mix_word3.txt,0,lch,4,4,max_minus,d,3,5,50,0,0.04352116558332,0.035045877710613,0.044521165758684,0.008736218349847,0.027442705122711,0.004714616181017
mix_word1.txt,0,lch,4,0,max_minus,s,15,1,50,0.5,0.049709679781993,0.028887926501017,,,,
mix_word1.txt,0,lch,4,1,max_minus,s,15,2,100,1,0.033743171610821,0.018266502230139,,,,
mix_word1.txt,0,lch,4,2,max_minus,d,3,0.1,100,1,0.04181393686159,0.015660285490227,,,,
mix_word1.txt,0,lch,4,3,max_minus,d,5,2,50,0.5,0.03109834035656,0.016984194899846,,,,
mix_word1.txt,0,lch,4,4,max_minus,s,3,2,50,0.5,0.043421712054276,0.023059028562806,0.039957368133048,0.006747662118214,0.020571587536807,0.004850825674479
mix_sent10.txt,0,path,4,0,max_minus,u,10,2,5,0.5,0.565094168541028,0.197305320081222,,,,
mix_sent10.txt,0,path,4,1,max_minus,s,10,2,10,0.5,0.608393342625454,0.177005243943728,,,,
mix_sent10.txt,0,path,4,2,max_minus,s,10,2,5,0.5,0.484073979342876,0.140216006791258,,,,
mix_sent10.txt,0,path,4,3,max_minus,u,15,1,5,1,0.555123342247252,0.335061998030468,,,,
mix_sent10.txt,0,path,4,4,max_minus,s,15,5,10,0,0.532609431961651,0.238513673632407,0.549058852943652,0.040762993732484,0.217620448495817,0.066757458448644
mix_sent1.txt,0,path,4,0,max_minus,s,5,5,50,0.5,0.122077656827654,0.024205289183744,,,,
mix_sent1.txt,0,path,4,1,max_minus,s,10,2,10,0.75,0.088078896985171,0.011621491969454,,,,
mix_sent1.txt,0,path,4,2,max_minus,d,3,2,10,0.5,0.098131708652167,0.043508917401472,,,,
mix_sent1.txt,0,path,4,3,max_minus,d,5,1,5,1,0.116754028336126,0.031231280599315,,,,
mix_sent1.txt,0,path,4,4,max_minus,d,3,2,10,0.5,0.156814408545654,0.042120053613446,0.116371339869354,0.02367064333279,0.030537406553486,0.011838976330081
mix_word3.txt,0,path,4,0,max_minus,d,10,0.1,50,0,0.042055005456677,0.011254186322864,,,,
mix_word3.txt,0,path,4,1,max_minus,d,3,1,50,1,0.027452939720658,0.017064029606696,,,,
mix_word3.txt,0,path,4,2,max_minus,s,3,2,50,0.5,0.028651336592967,0.01602783344055,,,,
mix_word3.txt,0,path,4,3,max_minus,s,3,2,100,0.5,0.028361580334305,0.01528751787565,,,,
mix_word3.txt,0,path,4,4,max_minus,d,3,5,200,1,0.032814192372506,0.006849898720101,0.031867010895422,0.005418579424625,0.013296693193172,0.003777521063162
mix_word1.txt,0,path,4,0,max_minus,s,5,0.1,50,0,0.040614574142526,0.011248688525349,,,,
mix_word1.txt,0,path,4,1,max_minus,d,5,2,50,0.25,0.027916134484368,0.0088630853046,,,,
mix_word1.txt,0,path,4,2,max_minus,u,3,2,200,0,0.027461973857273,0.016696411430771,,,,
mix_word1.txt,0,path,4,3,max_minus,d,5,0.1,200,0,0.022987632093444,0.013831667602135,,,,
mix_word1.txt,0,path,4,4,max_minus,s,5,0.1,50,1,0.03564812623984,0.016043992187319,0.03092568816349,0.006328402598026,0.013336769010035,0.00294058175027
mix_sent10.txt,0,wup,4,0,max_minus,u,15,5,10,0,0.569846154132327,0.167966443076181,,,,
mix_sent10.txt,0,wup,4,1,max_minus,d,15,2,5,0.5,0.586503645038362,0.164302700284216,,,,
mix_sent10.txt,0,wup,4,2,max_minus,u,15,5,10,0,0.556039724001735,0.199388458002561,,,,
mix_sent10.txt,0,wup,4,3,max_minus,u,15,5,10,0,0.544084531386824,0.17963563609412,,,,
mix_sent10.txt,0,wup,4,4,max_minus,u,15,5,10,0,0.504354732964263,0.21365781933728,0.552165757504702,0.027777310326161,0.184990211358872,0.018844598859561
mix_sent1.txt,0,wup,4,0,max_minus,u,15,5,50,0.75,0.108157202604858,0.02211419905419,,,,
