input_file,known_label_ratio,sim_tag,n_groups,fold_id,dist_option,exch_mat_opt,exch_range,alpha,beta,kappa,nmi_train,nmi_test
mix_word3.txt,0,lch,4,1,max_minus,d,3,5,100,0,0.039630811278743246,0.024758328986498424
mix_word3.txt,0,lch,4,2,max_minus,d,3,5,100,0.5,0.039541886158222427,0.021848345561206343
mix_word3.txt,0,lch,4,3,max_minus,u,3,2,50,0.5,0.03827642193111439,0.025078740171340125
mix_word3.txt,0,lch,4,4,max_minus,d,3,5,50,0,0.04352116558331973,0.03504587771061246
mix_word1.txt,0,lch,4,0,max_minus,s,15,1,50,0.5,0.049709679781992824,0.028887926501016434
mix_word1.txt,0,lch,4,1,max_minus,s,15,2,100,1,0.0337431716108213,0.018266502230138485
mix_word1.txt,0,lch,4,2,max_minus,d,3,0.1,100,1,0.041813936861589816,0.015660285490226963
mix_word1.txt,0,lch,4,3,max_minus,d,5,2,50,0.5,0.03109834035656024,0.016984194899845602
mix_word1.txt,0,lch,4,4,max_minus,s,3,2,50,0.5,0.043421712054276126,0.02305902856280569
mix_sent10.txt,0,path,4,0,max_minus,u,10,2,5,0.5,0.5549765503257241,0.15856416763132825
