dist,exch_opt,exch_range,alpha,beta,kappa,nmi
minus_log,d,3,5,50,0.6666666666666666,0.48063420338719515
minus_log,d,3,5,50,1,0.47147390560441105
minus_log,d,3,5,100,0,0.05376451810337091
minus_log,d,3,5,100,0.3333333333333333,0.07149202045329593
minus_log,d,3,5,100,0.6666666666666666,0.07765494280737234
minus_log,d,3,5,100,1,0.41242766256245766
minus_log,d,3,5,300,0,0.05553058154626356
minus_log,d,3,5,300,0.3333333333333333,0.05692936721882518
minus_log,d,3,5,300,0.6666666666666666,0.05136005841283461
minus_log,d,3,5,300,1,0.06711060398982872
minus_log,d,3,10,0.1,0,0.386896544015822
minus_log,d,3,10,0.1,0.3333333333333333,0.37035233209055346
minus_log,d,3,10,0.1,0.6666666666666666,0.3275138103116389
minus_log,d,3,10,0.1,1,0.3428997043212766
minus_log,d,3,10,1,0,0.4090180385981487
minus_log,d,3,10,1,0.3333333333333333,0.3743315437504191
minus_log,d,3,10,1,0.6666666666666666,0.31972559307630044
minus_log,d,3,10,1,1,0.33342526315624565
minus_log,d,3,10,5,0,0.4813569025768108
minus_log,d,3,10,5,0.3333333333333333,0.4082018106088017
minus_log,d,3,10,5,0.6666666666666666,0.3553582673659339
minus_log,d,3,10,5,1,0.33863222257714304
minus_log,d,3,10,10,0,0.5163138507554769
minus_log,d,3,10,10,0.3333333333333333,0.4357960646906891
minus_log,d,3,10,10,0.6666666666666666,0.3430294904363981
minus_log,d,3,10,10,1,0.33699275064039685
minus_log,d,3,10,50,0,0.14833300019577955
minus_log,d,3,10,50,0.3333333333333333,0.4994765635124783
minus_log,d,3,10,50,0.6666666666666666,0.4358328740554961
minus_log,d,3,10,50,1,0.37024561137272843
minus_log,d,3,10,100,0,0.07804842710841142
minus_log,d,3,10,100,0.3333333333333333,0.10712244625564017
minus_log,d,3,10,100,0.6666666666666666,0.48737187428820167
minus_log,d,3,10,100,1,0.4397853007363388
minus_log,d,3,10,300,0,0.05444079474815412
minus_log,d,3,10,300,0.3333333333333333,0.06462295816125772
minus_log,d,3,10,300,0.6666666666666666,0.0665597465150461
minus_log,d,3,10,300,1,0.09744638033199225
minus_log,d,3,50,0.1,0,0.3303657412541866
minus_log,d,3,50,0.1,0.3333333333333333,0.32590245683556546
minus_log,d,3,50,0.1,0.6666666666666666,0.2874443967130417
minus_log,d,3,50,0.1,1,0.28560709748210833
