input_file,known_label_ratio,sim_tag,n_groups,dist_option,fold_id,exch_mat_opt,exch_range,alpha,beta,kappa,nmi_train,nmi_test
mix_word1.txt,0,w2v,4,max_minus,0,d,5,2,300,1,0.11260386238452995,0.06990498304369247
mix_word1.txt,0,w2v,4,max_minus,1,u,10,2,300,0.6666666666666666,0.11659717510337261,0.07605293405962402
mix_word1.txt,0,w2v,4,max_minus,2,d,10,2,100,0,0.1020517758203359,0.05831792595358246
mix_word1.txt,0,w2v,4,max_minus,3,u,3,2,300,0.6666666666666666,0.1446872753383067,0.0545367406716136
mix_word1.txt,0,w2v,4,max_minus,4,d,3,5,100,0,0.10412265841790756,0.055235590436071125
mix_word3.txt,0,w2v,4,max_minus,0,d,10,10,300,0.3333333333333333,0.1087047845209416,0.08582557057258572
mix_word3.txt,0,w2v,4,max_minus,1,d,3,5,300,1,0.15748051813239855,0.06601859715308356
mix_word3.txt,0,w2v,4,max_minus,2,d,3,1,50,1,0.12825100439189732,0.0665976694000827
mix_word3.txt,0,w2v,4,max_minus,3,d,5,2,100,0.3333333333333333,0.13927719592132495,0.08913048170346607
mix_word3.txt,0,w2v,4,max_minus,4,d,5,2,100,0,0.11048902491117622,0.06556092282619871
mix_sent1.txt,0,w2v,4,max_minus,0,u,3,2,50,0.6666666666666666,0.22777818762565538,0.16229030541316616
mix_sent1.txt,0,w2v,4,max_minus,1,u,5,2,50,0.6666666666666666,0.29135246061457065,0.12278408889564621
mix_sent1.txt,0,w2v,4,max_minus,2,d,5,2,50,0.6666666666666666,0.33852016779165456,0.1546579809683596
mix_sent1.txt,0,w2v,4,max_minus,3,u,5,2,50,0.6666666666666666,0.2756246865322452,0.1555637026680066
mix_sent1.txt,0,w2v,4,max_minus,4,u,3,5,50,0,0.28844801663250297,0.18253547376711746
mix_sent10.txt,0,w2v,4,max_minus,0,u,15,10,100,0,0.7989455751081168,0.39922025729776467
mix_sent10.txt,0,w2v,4,max_minus,1,u,15,5,100,0.6666666666666666,0.6347662400610021,0.2843643916750642
mix_sent10.txt,0,w2v,4,max_minus,2,u,15,10,300,0.6666666666666666,0.6876434525277697,0.38281116471157983
mix_sent10.txt,0,w2v,4,max_minus,3,u,15,5,50,0.3333333333333333,0.75316492891633,0.17435177836970794
mix_sent10.txt,0,w2v,4,max_minus,4,u,15,5,50,0,0.8992421703264541,0.5157856466395657
mix_word1.txt,0,w2v,4,minus_log,0,d,5,0.1,50,0.6666666666666666,0.09781424591426625,0.08926561623366583
mix_word1.txt,0,w2v,4,minus_log,1,u,3,1,300,0,0.14200737699941446,0.0748634011177239
mix_word1.txt,0,w2v,4,minus_log,2,d,10,0.1,100,0,0.09811597153205334,0.06920529854285483
mix_word1.txt,0,w2v,4,minus_log,3,d,3,10,50,0,0.13843251324867958,0.04994350709037455
mix_word1.txt,0,w2v,4,minus_log,4,d,3,1,300,0.6666666666666666,0.12109664795369955,0.07819843688031936
