input_file,known_label_ratio,sim_tag,n_groups,dist_option,fold_id,exch_mat_opt,exch_range,alpha,beta,kappa,nmi_train,nmi_test
mix_word1.txt,0,w2v,4,max_minus,0,s,10,2,300,0.6666666666666666,0.09985740841013374,0.06155022628376717
mix_word1.txt,0,w2v,4,max_minus,1,s,3,0.1,100,1,0.12850861544789605,0.06066222104369372
mix_word1.txt,0,w2v,4,max_minus,2,s,3,0.1,100,1,0.10436616929555124,0.059206888340902306
mix_word1.txt,0,w2v,4,max_minus,3,s,10,10,300,0,0.12630635708368435,0.05294196095829593
mix_word1.txt,0,w2v,4,max_minus,4,s,5,0.1,100,0.6666666666666666,0.10135003010039587,0.08323302649158205
mix_word3.txt,0,w2v,4,max_minus,0,s,3,5,300,0.6666666666666666,0.1094739315914579,0.0664248403171099
mix_word3.txt,0,w2v,4,max_minus,1,s,10,2,100,0.3333333333333333,0.12859316600773688,0.0727565147474071
mix_word3.txt,0,w2v,4,max_minus,2,s,3,1,100,0.6666666666666666,0.12546867908934936,0.08086116702308391
mix_word3.txt,0,w2v,4,max_minus,3,s,3,10,300,0.3333333333333333,0.13871497006879113,0.060944293356897945
mix_word3.txt,0,w2v,4,max_minus,4,s,3,5,300,0.3333333333333333,0.10776874256808636,0.07650225882225496
mix_sent1.txt,0,w2v,4,max_minus,0,s,3,5,50,0,0.2155064595143282,0.1994741403812542
mix_sent1.txt,0,w2v,4,max_minus,1,s,3,5,300,1,0.26893665339522255,0.0987779285629775
mix_sent1.txt,0,w2v,4,max_minus,2,s,5,5,50,0,0.2651255244499907,0.26651376017798123
mix_sent1.txt,0,w2v,4,max_minus,3,s,3,2,50,0.6666666666666666,0.3280564561972516,0.1961510765685625
mix_sent1.txt,0,w2v,4,max_minus,4,s,5,5,300,1,0.2052850150766685,0.1495400307808794
mix_sent10.txt,0,w2v,4,max_minus,0,s,15,5,50,0,0.7088061099074372,0.6261998957008352
mix_sent10.txt,0,w2v,4,max_minus,1,s,15,2,50,0.6666666666666666,0.6414701715734188,0.6819059174771104
mix_sent10.txt,0,w2v,4,max_minus,2,s,10,5,50,0,0.7145907322000273,0.4937257560065121
mix_sent10.txt,0,w2v,4,max_minus,3,s,15,5,50,0,0.6962410210547721,0.6206961475642282
mix_sent10.txt,0,w2v,4,max_minus,4,s,15,2,50,1,0.7435573791457416,0.09936131770359011
