file,nmi,map,pk,win_diff,pk_rdm,win_diff_rdm
corpora/manifesto_pp/61320_199211_pp_wostw.txt,0.20763548750296718,0.21919934715161746,0.4323662551440329218106995885,0.466193415637860082304526749,0.5751028806584362139917695471,1
corpora/manifesto_pp/61320_200411_pp_wostw.txt,0.1873907738758986,0.2115523095384689,0.4364786505007907221929362152,0.4923563521349499209277807064,0.648708487084870848708487085,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0.11279441618999024,0.18891842213020785,0.4194486215538847117794486215,0.4472968134622269960615825277,0.6045828857858933046902971718,1
corpora/manifesto_pp/61320_201611_pp_wostw.txt,0.11560951500360031,nan,0.3969522378089512358049432198,0.4309953239812959251837007348,0.6352705410821643286573146291,0.9999749498997995991983967936
corpora/manifesto_pp/61320_202011_pp_wostw.txt,0.1266652328081334,nan,0.4046696035242290748898678414,0.4451431718061674008810572688,0.6404570484581497797356828191,0.9999614537444933920704845815
corpora/manifesto_pp/61620_200411_pp_wostw.txt,0.16736748391414763,0.20304005625057334,0.5111241370326950631757196823,0.6320437670965220789370847986,0.6324084929008727367461247881,1
corpora/manifesto_pp/61620_200811_pp_wostw.txt,0.1296096794990265,0.2001530713697563,0.4269898358092259577795152464,0.4580922595777951524628616106,0.589913995308835027365129007,1
corpora/manifesto_pp/61620_201211_pp_wostw.txt,0.12825056235524251,0.1899391759558793,0.4288932605660616829546896814,0.448432542200786901891102932,0.5892245208782840461987561871,1
corpora/manifesto_pp/61620_201611_pp_wostw.txt,0.14846960627837488,0.2056656156808112,0.4061409534276686358016211019,0.4343797224893529330952053854,0.613339744470394284929248523,0.9999793927737326555845583185
corpora/manifesto_pp/61620_202011_pp_wostw.txt,0.13966964202954366,0.20501447764916345,0.4084146173924989696386866327,0.4380272015386728946283830197,0.613339744470394284929248523,1
