Input file: The_WW_of_Oz_nouns.txt | Similarity tag: wesim | Neighbourhood range: 20 | Number of groups: 2 | Alpha: 1 | Beta: 100 | Kappa: 0.6 | Convergence threshold: 1e-05
group;token;id_token;percent
1;dorothy;3979;100.0
1;dorothy;2197;100.0
1;dorothy;3984;100.0
1;dorothy;5621;100.0
1;dorothy;4262;100.0
1;dorothy;1750;100.0
1;dorothy;3791;100.0
1;dorothy;5607;100.0
1;dorothy;6795;100.0
1;dorothy;6801;100.0
1;dorothy;5562;100.0
1;dorothy;5177;100.0
1;dorothy;1806;100.0
1;dorothy;2188;100.0
1;dorothy;1777;100.0
1;dorothy;2208;100.0
1;dorothy;437;100.0
1;dorothy;1793;100.0
1;dorothy;3960;100.0
1;dorothy;1880;100.0
1;dorothy;1886;100.0
1;dorothy;1781;100.0
1;dorothy;1431;100.0
1;dorothy;1761;100.0
1;dorothy;3868;100.0
1;dorothy;6101;100.0
1;dorothy;448;100.0
1;dorothy;4280;100.0
1;dorothy;4251;100.0
1;dorothy;3709;100.0
1;dorothy;1870;100.0
1;dorothy;632;100.0
1;dorothy;514;100.0
1;dorothy;966;100.0
1;dorothy;831;100.0
1;dorothy;4963;100.0
1;dorothy;505;100.0
1;dorothy;6964;100.0
1;dorothy;6973;100.0
1;dorothy;6806;100.0
1;dorothy;2064;100.0
1;dorothy;3781;100.0
1;dorothy;7557;100.0
1;dorothy;6488;100.0
1;dorothy;974;100.0
1;dorothy;853;100.0
1;dorothy;839;100.0
1;dorothy;4172;100.0
1;dorothy;2478;100.0
1;dorothy;6980;100.0
1;dorothy;1441;100.0
1;dorothy;431;100.0
1;dorothy;4980;100.0
1;dorothy;980;100.0
1;dorothy;2905;100.0
1;dorothy;6810;100.0
1;dorothy;4809;100.0
1;dorothy;6967;100.0
1;dorothy;5577;100.0
1;dorothy;4545;100.0
1;dorothy;5185;100.0
1;dorothy;4781;100.0
1;dorothy;7579;100.0
1;dorothy;6422;100.0
1;dorothy;6960;100.0
1;dorothy;1648;100.0
1;dorothy;4535;100.0
1;dorothy;5543;100.0
1;dorothy;3684;100.0
1;dorothy;4303;100.0
1;dorothy;619;100.0
1;dorothy;3089;100.0
1;dorothy;5464;100.0
1;dorothy;4204;100.0
1;dorothy;962;100.0
1;dorothy;6107;100.0
1;dorothy;2143;100.0
1;dorothy;492;100.0
1;dorothy;2466;100.0
1;dorothy;637;100.0
1;dorothy;375;100.0
1;dorothy;4551;100.0
1;dorothy;6510;100.0
1;dorothy;7607;100.0
1;dorothy;993;100.0
1;dorothy;6545;100.0
1;dorothy;6339;100.0
1;dorothy;609;100.0
1;dorothy;4517;100.0
1;dorothy;6814;100.0
1;dorothy;382;100.0
1;dorothy;6777;100.0
1;dorothy;4718;100.0
1;dorothy;535;100.0
1;dorothy;2597;100.0
1;dorothy;4477;100.0
1;dorothy;6539;100.0
1;dorothy;7463;100.0
1;dorothy;4711;100.0
1;dorothy;1451;100.0
1;dorothy;365;100.0
1;dorothy;4529;100.0
1;dorothy;2499;100.0
1;dorothy;5146;100.0
1;dorothy;5431;100.0
1;dorothy;5166;100.0
1;dorothy;541;100.0
1;dorothy;812;100.0
1;dorothy;3227;100.0
1;dorothy;4638;100.0
1;dorothy;6989;100.0
1;dorothy;5090;100.0
1;dorothy;7491;100.0
1;dorothy;6403;100.0
1;dorothy;6532;100.0
1;dorothy;5164;100.0
1;dorothy;3023;100.0
1;dorothy;4943;100.0
1;dorothy;3162;100.0
1;dorothy;5157;100.0
1;dorothy;3017;100.0
1;dorothy;471;100.0
1;dorothy;5389;100.0
1;dorothy;7456;100.0
1;dorothy;362;100.0
1;dorothy;7517;100.0
1;dorothy;6408;100.0
1;dorothy;4727;100.0
1;dorothy;6561;100.0
1;dorothy;651;100.0
1;dorothy;7525;100.0
1;dorothy;3668;100.0
1;dorothy;6551;100.0
1;dorothy;1042;100.0
1;dorothy;2364;100.0
1;dorothy;955;100.0
1;dorothy;7530;100.0
1;dorothy;2587;100.0
1;dorothy;6469;100.0
1;dorothy;600;100.0
1;dorothy;551;100.0
1;dorothy;7117;100.0
1;dorothy;5079;100.0
1;dorothy;5535;100.0
1;dorothy;2093;100.0
1;dorothy;4585;100.0
1;dorothy;4731;100.0
1;dorothy;4827;100.0
1;dorothy;126;100.0
1;dorothy;3660;100.0
1;dorothy;2492;100.0
1;dorothy;5206;100.0
1;dorothy;4116;100.0
1;dorothy;2925;100.0
1;dorothy;5112;100.0
1;dorothy;4938;100.0
1;dorothy;3118;100.0
1;dorothy;658;100.0
1;dorothy;1016;100.0
1;dorothy;116;100.0
1;dorothy;6457;100.0
1;dorothy;1034;100.0
1;dorothy;4410;100.0
1;dorothy;864;100.0
1;dorothy;4607;100.0
1;dorothy;3140;100.0
1;dorothy;5130;100.0
1;dorothy;4590;100.0
1;dorothy;6720;100.0
1;dorothy;7378;100.0
1;dorothy;6120;100.0
1;dorothy;3052;100.0
1;dorothy;7445;100.0
1;dorothy;7728;100.0
1;dorothy;4998;100.0
1;dorothy;7114;100.0
1;dorothy;6304;100.0
1;dorothy;4007;100.0
1;dorothy;2276;100.0
1;dorothy;5830;100.0
1;dorothy;4894;100.0
1;dorothy;5097;100.0
1;dorothy;5991;100.0
1;dorothy;419;100.0
1;dorothy;2518;100.0
1;dorothy;2920;100.0
1;dorothy;2303;100.0
1;dorothy;1380;100.0
1;dorothy;6440;100.0
1;dorothy;1473;100.0
1;dorothy;4657;100.0
1;dorothy;390;100.0
1;dorothy;7145;100.0
1;dorothy;2321;100.0
1;dorothy;6672;100.0
1;dorothy;2043;100.0
1;dorothy;5401;100.0
1;dorothy;7738;100.0
1;dorothy;132;100.0
1;dorothy;2861;100.0
1;dorothy;803;100.0
1;dorothy;1630;100.0
1;dorothy;4703;100.0
1;dorothy;3220;100.0
1;dorothy;2456;100.0
1;dorothy;1928;100.0
1;dorothy;4834;100.0
1;dorothy;7335;100.0
1;dorothy;885;100.0
1;dorothy;7677;100.0
1;dorothy;2416;100.0
1;dorothy;6299;100.0
1;dorothy;6944;100.0
1;dorothy;2444;100.0
1;dorothy;4101;100.0
1;dorothy;1935;100.0
1;dorothy;1282;100.0
1;dorothy;5056;100.0
1;dorothy;664;100.0
1;dorothy;4742;100.0
1;dorothy;6581;100.0
1;dorothy;676;100.0
1;dorothy;3757;100.0
1;dorothy;3124;100.0
1;dorothy;3256;100.0
1;dorothy;7681;100.0
1;dorothy;3182;100.0
1;dorothy;4360;100.0
1;dorothy;1397;100.0
1;dorothy;591;100.0
1;dorothy;576;100.0
1;dorothy;7021;100.0
1;dorothy;3573;100.0
1;dorothy;5653;100.0
1;dorothy;5726;100.0
1;dorothy;7418;100.0
1;dorothy;2437;100.0
1;dorothy;1339;100.0
1;dorothy;7018;100.0
1;dorothy;2291;100.0
1;dorothy;3555;100.0
1;dorothy;4874;100.0
1;dorothy;7317;100.0
1;dorothy;6294;100.0
1;dorothy;2243;100.0
1;dorothy;5356;100.0
1;dorothy;7385;100.0
1;dorothy;402;100.0
