token,id,G1,G2,G3,G4,G5
lounge,163,nan,nan,nan,nan,nan
come,164,nan,nan,nan,nan,nan
feed,165,nan,nan,nan,nan,nan
sleep,166,nan,nan,nan,nan,nan
stand,167,nan,nan,nan,nan,nan
store,168,nan,nan,nan,nan,nan
shed,169,nan,nan,nan,nan,nan
help,170,nan,nan,nan,nan,nan
store,171,nan,nan,nan,nan,nan
shed,172,nan,nan,nan,nan,nan
bear,173,nan,nan,nan,nan,nan
defend,174,nan,nan,nan,nan,nan
saw,175,nan,nan,nan,nan,nan
believe,176,nan,nan,nan,nan,nan
gallop,177,nan,nan,nan,nan,nan
make,178,nan,nan,nan,nan,nan
wipe,179,nan,nan,nan,nan,nan
saw,180,nan,nan,nan,nan,nan
be,181,nan,nan,nan,nan,nan
keep,182,nan,nan,nan,nan,nan
end,183,nan,nan,nan,nan,nan
see,184,nan,nan,nan,nan,nan
believe,185,nan,nan,nan,nan,nan
be,186,nan,nan,nan,nan,nan
be,187,nan,nan,nan,nan,nan
have,188,nan,nan,nan,nan,nan
be,189,nan,nan,nan,nan,nan
read,190,nan,nan,nan,nan,nan
write,191,nan,nan,nan,nan,nan
be,192,nan,nan,nan,nan,nan
be,193,nan,nan,nan,nan,nan
be,194,nan,nan,nan,nan,nan
form,195,nan,nan,nan,nan,nan
balance,196,nan,nan,nan,nan,nan
work,197,nan,nan,nan,nan,nan
be,198,nan,nan,nan,nan,nan
read,199,nan,nan,nan,nan,nan
wear,200,nan,nan,nan,nan,nan
sleep,201,nan,nan,nan,nan,nan
drink,202,nan,nan,nan,nan,nan
kill,203,nan,nan,nan,nan,nan
read,204,nan,nan,nan,nan,nan
learn,205,nan,nan,nan,nan,nan
let,206,nan,nan,nan,nan,nan
make,207,nan,nan,nan,nan,nan
get,208,nan,nan,nan,nan,nan
happen,209,nan,nan,nan,nan,nan
mix,210,nan,nan,nan,nan,nan
mind,211,nan,nan,nan,nan,nan
be,212,nan,nan,nan,nan,nan
lead,213,nan,nan,nan,nan,nan
follow,214,nan,nan,nan,nan,nan
get,215,nan,nan,nan,nan,nan
use,216,nan,nan,nan,nan,nan
think,217,nan,nan,nan,nan,nan
work,218,nan,nan,nan,nan,nan
assume,219,nan,nan,nan,nan,nan
harness,220,nan,nan,nan,nan,nan
tramp,221,nan,nan,nan,nan,nan
be,222,nan,nan,nan,nan,nan
be,223,nan,nan,nan,nan,nan
eat,224,nan,nan,nan,nan,nan
tread,225,nan,nan,nan,nan,nan
blow,226,nan,nan,nan,nan,nan
rest,227,nan,nan,nan,nan,nan
put,228,nan,nan,nan,nan,nan
be,229,nan,nan,nan,nan,nan
work,230,nan,nan,nan,nan,nan
be,231,nan,nan,nan,nan,nan
be,232,nan,nan,nan,nan,nan
reappear,233,nan,nan,nan,nan,nan
believe,234,nan,nan,nan,nan,nan
express,235,nan,nan,nan,nan,nan
be,236,nan,nan,nan,nan,nan
run,237,nan,nan,nan,nan,nan
represent,238,nan,nan,nan,nan,nan
put,239,nan,nan,nan,nan,nan
put,240,nan,nan,nan,nan,nan
vote,241,nan,nan,nan,nan,nan
think,242,nan,nan,nan,nan,nan
be,243,nan,nan,nan,nan,nan
oppose,244,nan,nan,nan,nan,nan
object,245,nan,nan,nan,nan,nan
tame,246,nan,nan,nan,nan,nan
tame,247,nan,nan,nan,nan,nan
come,248,nan,nan,nan,nan,nan
perch,249,nan,nan,nan,nan,nan
read,250,nan,nan,nan,nan,nan
write,251,nan,nan,nan,nan,nan
read,252,nan,nan,nan,nan,nan
read,253,nan,nan,nan,nan,nan
read,254,nan,nan,nan,nan,nan
read,255,nan,nan,nan,nan,nan
put,256,nan,nan,nan,nan,nan
get,257,nan,nan,nan,nan,nan
trace,258,nan,nan,nan,nan,nan
stand,259,nan,nan,nan,nan,nan
remember,260,nan,nan,nan,nan,nan
learn,261,nan,nan,nan,nan,nan
be,262,nan,nan,nan,nan,nan
write,263,nan,nan,nan,nan,nan
learn,264,nan,nan,nan,nan,nan
form,265,nan,nan,nan,nan,nan
decorate,266,nan,nan,nan,nan,nan
walk,267,nan,nan,nan,nan,nan
get,268,nan,nan,nan,nan,nan
learn,269,nan,nan,nan,nan,nan
be,270,nan,nan,nan,nan,nan
be,271,nan,nan,nan,nan,nan
be,272,nan,nan,nan,nan,nan
understand,273,nan,nan,nan,nan,nan
work,274,nan,nan,nan,nan,nan
learn,275,nan,nan,nan,nan,nan
keep,276,nan,nan,nan,nan,nan
be,277,nan,nan,nan,nan,nan
make,278,nan,nan,nan,nan,nan
be,279,nan,nan,nan,nan,nan
be,280,nan,nan,nan,nan,nan
be,281,nan,nan,nan,nan,nan
make,282,nan,nan,nan,nan,nan
imagine,283,nan,nan,nan,nan,nan
hope,284,nan,nan,nan,nan,nan
dislike,285,nan,nan,nan,nan,nan
dislike,286,nan,nan,nan,nan,nan
depend,287,nan,nan,nan,nan,nan
drink,288,nan,nan,nan,nan,nan
eat,289,nan,nan,nan,nan,nan
know,290,nan,nan,nan,nan,nan
happen,291,nan,nan,nan,nan,nan
come,292,nan,nan,nan,nan,nan
come,293,nan,nan,nan,nan,nan
see,294,nan,nan,nan,nan,nan
come,295,nan,nan,nan,nan,nan
back,296,nan,nan,nan,nan,nan
put,297,nan,nan,nan,nan,nan
