input_file,label_ratio,sim_tag,n_groups,n_tests,dist_option,exch_mat_opt,exch_range,alpha,beta,kappa,mean_nmi
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,2,200,1,0.03505538395177182
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,5,0,0.01147830805355473
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,5,0.25,0.04295175776667928
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,5,0.5,0.05731292640258279
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,5,0.75,0.053183032047126044
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,5,1,0.0393498596877325
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,10,0,0.02671358027803623
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,10,0.25,0.05115587168456747
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,10,0.5,0.06208437540964037
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,10,0.75,0.04697686503184692
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,10,1,0.04137533981338927
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,50,0,0.11426182944516554
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,50,0.25,0.1477510113531967
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,50,0.5,0.10827517891127647
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,50,0.75,0.057438853745451025
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,50,1,0.04286554750944149
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,100,0,0.03394381073061164
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,100,0.25,0.044556738941971104
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,100,0.5,0.0825353396510192
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,100,0.75,0.09243935019574225
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,100,1,0.04226737356281334
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,200,0,0.029227716947854757
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,200,0.25,0.03031571158578077
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,200,0.5,0.037147923565192434
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,200,0.75,0.05717637477804225
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,5,200,1,0.07666930876030555
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,10,5,0,0.049468304871165054
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,10,5,0.25,0.04621010920906247
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,10,5,0.5,0.04533970084513971
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,10,5,0.75,0.03845286435406719
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,10,5,1,0.03365709380104148
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,10,10,0,0.050133494227335894
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,10,10,0.25,0.0502797459750855
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,10,10,0.5,0.029564800483910237
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,10,10,0.75,0.02778039914777612
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,10,10,1,0.033667796515300746
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,10,50,0,0.1382300380504836
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,10,50,0.25,0.07832805187068688
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,10,50,0.5,0.04299954531769986
corpora/61320_199211_pp_wostw.txt,0,ftx,7,3,max_minus,d,15,10,50,0.75,0.0326481637041025
