input_file,label_ratio,sim_tag,n_groups,n_tests,dist_option,exch_mat_opt,exch_range,alpha,beta,kappa,mean_nmi,mean_pk,mean_rdm_pk,mean_wd,mean_rdm_wd
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,5,0,0.0,0.3618835743418613274008157213,0.638116425658138672599184279,0.3618835743418613274008157213,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,5,0.25,0.0,0.3618835743418613274008157213,0.638116425658138672599184279,0.3618835743418613274008157213,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,5,0.5,0.0,0.3618835743418613274008157213,0.638116425658138672599184279,0.3618835743418613274008157213,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,5,0.75,0.0,0.3618835743418613274008157213,0.638116425658138672599184279,0.3618835743418613274008157213,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,5,1,0.21763348939858926,0.638116425658138672599184279,0.638116425658138672599184279,0.9951798294401186503522432333,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,10,0,0.0,0.3618835743418613274008157213,0.638116425658138672599184279,0.3618835743418613274008157213,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,10,0.25,0.0,0.3618835743418613274008157213,0.638116425658138672599184279,0.3618835743418613274008157213,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,10,0.5,0.0,0.3618835743418613274008157213,0.638116425658138672599184279,0.3618835743418613274008157213,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,10,0.75,0.0,0.3618835743418613274008157213,0.638116425658138672599184279,0.3618835743418613274008157213,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,10,1,0.23190607643258213,0.638116425658138672599184279,0.638116425658138672599184279,0.9997528117661599307872945247,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,50,0,0.08197967205417515,0.638116425658138672599184279,0.638116425658138672599184279,1,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,50,0.25,0.08802520004626459,0.638116425658138672599184279,0.638116425658138672599184279,1,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,50,0.5,0.132195151894417,0.638116425658138672599184279,0.638116425658138672599184279,1,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,50,0.75,0.2768583195814454,0.638116425658138672599184279,0.638116425658138672599184279,1,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,50,1,0.3358162668312512,0.638116425658138672599184279,0.638116425658138672599184279,1,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,100,0,0.1042657465625531,0.638116425658138672599184279,0.638116425658138672599184279,1,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,100,0.25,0.10545072681408485,0.638116425658138672599184279,0.638116425658138672599184279,1,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,100,0.5,0.12436749190655616,0.638116425658138672599184279,0.638116425658138672599184279,1,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,100,0.75,0.14940270561674407,0.638116425658138672599184279,0.638116425658138672599184279,1,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,100,1,0.2678040502230816,0.638116425658138672599184279,0.638116425658138672599184279,1,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,200,0,0.08843372445417426,0.638116425658138672599184279,0.638116425658138672599184279,1,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,200,0.25,0.09681735761361027,0.638116425658138672599184279,0.638116425658138672599184279,1,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,200,0.5,0.1029300207966134,0.638116425658138672599184279,0.638116425658138672599184279,1,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,200,0.75,0.11928505360265561,0.638116425658138672599184279,0.638116425658138672599184279,1,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,1,200,1,0.15471477211411389,0.638116425658138672599184279,0.638116425658138672599184279,1,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,2,5,0,0.0,0.3618835743418613274008157213,0.638116425658138672599184279,0.3618835743418613274008157213,1
corpora/cities_pp/c3_pp_wostw.txt,0,w2v,14,3,max_minus,u,5,2,5,0.25,0.0,0.3618835743418613274008157213,0.638116425658138672599184279,0.3618835743418613274008157213,1
