file,block_size,elapse_time,nmi,pk,pk_rdm,win_diff,win_diff_rdm
corpora/manifesto_pp/61320_202011_pp_wostw.txt,1000,474.19833189295605,0.01706410013404966,0.5244912172096262477752843767,0.6080631432329954344966339085,0.6881915963785498723206685754,1
corpora/manifesto_pp/61320_202011_pp_wostw.txt,2000,913.4676754230168,0.03909768948303609,0.4698599396424978720111429235,0.6080631432329954344966339085,0.5600479764760504526812659599,1
corpora/manifesto_pp/61320_202011_pp_wostw.txt,3000,1287.7897654920816,0.04534284308658774,0.4654491991023756093786272537,0.6080631432329954344966339085,0.5209316722123345972297454152,1
corpora/manifesto_pp/61320_202011_pp_wostw.txt,4000,1874.2440797670279,0.04285479835928464,0.4021125125744796099976785576,0.6080631432329954344966339085,0.4348448502669658747968737909,1
corpora/manifesto_pp/61320_202011_pp_wostw.txt,5000,2188.4654689161107,0.0460726255403978,0.4098893445794320204286930279,0.6080631432329954344966339085,0.4334906755397353555675926642,1
corpora/manifesto_pp/61320_202011_pp_wostw.txt,6000,2645.898413554067,0.05372868930018151,0.4002553586628491836260930125,0.6080631432329954344966339085,0.4384817766772421264412288168,1
corpora/manifesto_pp/61320_202011_pp_wostw.txt,7000,2634.827952036867,0.06479664844925737,0.4049369341484175501044649075,0.6080631432329954344966339085,0.4753540199644045500270834945,1
corpora/manifesto_pp/61320_202011_pp_wostw.txt,8000,3364.9065568400547,0.11838048251094231,0.3999845237174030797802367871,0.6080631432329954344966339085,0.4222316799504758956898552968,1
corpora/manifesto_pp/61320_202011_pp_wostw.txt,9000,3372.29980285489,0.11932641790831021,0.4049369341484175501044649075,0.6080631432329954344966339085,0.4276096881529056720575717713,1
corpora/manifesto_pp/61320_202011_pp_wostw.txt,10000,3366.9570814829785,0.10140624509995036,0.4017256055095566045035982357,0.6080631432329954344966339085,0.4324847171709355412829838273,1
