file,block_size,elapse_time,nmi,pk,pk_rdm,win_diff,win_diff_rdm
corpora/manifesto_pp/61320_202011_pp_wostw.txt,1000,477.77941238391213,0.05628634588311723,0.3975140804039619343561856671,0.6070693338512332491745970091,0.3998446300252476208972616042,1
corpora/manifesto_pp/61320_202011_pp_wostw.txt,2000,919.9878956270404,0.07968701832412728,0.3928529811613905612740337930,0.6070693338512332491745970091,0.3934356185667119829093027772,1
corpora/manifesto_pp/61320_202011_pp_wostw.txt,3000,1312.0177957790438,0.10328600601760997,0.3942513109341619731986793552,0.6070693338512332491745970091,0.3947951058457953000582637405,0.9999611575063119052243154010
corpora/manifesto_pp/61320_202011_pp_wostw.txt,4000,1904.7031361148693,0.1262791222522268,0.3954942707321810060205865217,0.6070693338512332491745970091,0.3956496407069333851233249175,1
corpora/manifesto_pp/61320_202011_pp_wostw.txt,5000,2226.9598556519486,0.06484883607792302,0.3937075160225286463390949699,0.6070693338512332491745970091,0.3937075160225286463390949699,1
corpora/manifesto_pp/61320_202011_pp_wostw.txt,6000,2699.9956589271314,0.1262355500222443,0.3940182559720334045445717615,0.6070693338512332491745970091,0.3940182559720334045445717615,1
corpora/manifesto_pp/61320_202011_pp_wostw.txt,7000,2653.594928104896,0.15217144377527292,0.3946397358710429209555253447,0.6070693338512332491745970091,0.3946397358710429209555253447,1
corpora/manifesto_pp/61320_202011_pp_wostw.txt,8000,3381.7859284400474,0.07136186490822985,0.3934744610604000776849873762,0.6070693338512332491745970091,0.3936298310351524567877257720,1
corpora/manifesto_pp/61320_202011_pp_wostw.txt,9000,3413.3196103491355,0.10951055727633867,0.3945620508836667314041561468,0.6070693338512332491745970091,0.3945620508836667314041561468,1
corpora/manifesto_pp/61320_202011_pp_wostw.txt,10000,3384.579794615973,0.10607249483346524,0.3940182559720334045445717615,0.6070693338512332491745970091,0.3941736259467857836473101573,1
