input_file,known_label_ratio,sim_tag,n_groups,fold_id,dist_option,exch_mat_opt,exch_range,alpha,beta,kappa,nmi_train,nmi_test,,
mix_word1.txt,0,path,4,0,max_minus,d,15,0.1,200,1,0.031078743146306,0.004402277385141,,
mix_word1.txt,0,path,4,1,max_minus,u,3,0.1,50,1,0.046385844371271,0.047570020127695,,
mix_word1.txt,0,path,4,2,max_minus,d,5,0.1,50,0,0.051208618913843,0.023207303093813,,
mix_word1.txt,0,path,4,3,max_minus,d,15,0.1,50,1,0.042315642479306,0.061797573751262,0.034244293589478,0.024979552974952
mix_word5.txt,0,path,4,0,max_minus,d,5,5,200,0.75,0.036850880937807,0.041240148839329,,
mix_word5.txt,0,path,4,1,max_minus,d,10,1,50,0.75,0.050789779101905,0.022423758673692,,
mix_word5.txt,0,path,4,2,max_minus,d,10,0.1,50,1,0.053083026653982,0.043788744179109,,
mix_word5.txt,0,path,4,3,max_minus,d,15,0.1,50,0.25,0.044644369968888,0.037476384200048,0.036232258973045,0.009372577734289
mix_sent1.txt,0,path,4,0,max_minus,d,10,2,50,0.75,0.050883099238041,0.03127246612363,,
mix_sent1.txt,0,path,4,1,max_minus,u,3,5,100,0.5,0.049320260148631,0.107437309705251,,
mix_sent1.txt,0,path,4,2,max_minus,u,3,5,100,0.5,0.054157821593593,0.037525887640077,0.051453726993422,0.047849242203101
