file,nmi,pk,pk_rdm,wd,wd_rdm
corpora/cities_pp/c100_pp_wostw.txt,0.030157503865994983,0.489825476138750090520674922,0.538561807516836845535520313,0.5098124411615613006010572817,1
corpora/cities_pp/c10_pp_wostw.txt,0.06126395691169826,0.3359818388195232690124858117,0.6555051078320090805902383653,0.3620885357548240635641316687,1
corpora/cities_pp/c11_pp_wostw.txt,0.02589334478283976,0.4178373080692584122835674617,0.6269193074158771643253838613,0.4575846673200479146248502667,1
corpora/cities_pp/c12_pp_wostw.txt,0.03314772905270281,0.4151674711130612841889717713,0.6000438788942518648530057043,0.461898493491297352640046804,1
corpora/cities_pp/c13_pp_wostw.txt,0.058829214308989984,0.366011578305911029859841560,0.6382541133455210237659963437,0.3853595368677635588056063377,1
corpora/cities_pp/c14_pp_wostw.txt,0.05633981774939873,0.3856562922868741542625169147,0.598105548037889039242219215,0.4018944519621109607577807847,1
corpora/cities_pp/c15_pp_wostw.txt,0.08974578446014342,0.4490696941028066855881425417,0.6064333017975402081362346263,0.4638915168716493219804478083,1
corpora/cities_pp/c16_pp_wostw.txt,0.030289383371543355,0.4995393827729157070474435743,0.526024873330262551819438047,0.524643021649009672961768770,1
corpora/cities_pp/c17_pp_wostw.txt,0.06416718090715828,0.383416155120335184643866316,0.593101432329728149663840982,0.4075806294455812140699600507,1
corpora/cities_pp/c18_pp_wostw.txt,0.041969478005170535,0.4601328903654485049833887043,0.594130675526024363233665559,0.4601328903654485049833887043,1
corpora/cities_pp/c19_pp_wostw.txt,0.03156673033923391,0.4638907695779733694425637553,0.5683818551117129316181448883,0.474385014669374858948318664,1
corpora/cities_pp/c1_pp_wostw.txt,0.03556547508043953,0.396658582592293182430611695,0.6738075990299110751818916733,0.4463756399892212341686876853,1
corpora/cities_pp/c20_pp_wostw.txt,0.029816528605696963,0.4812206572769953051643192487,0.5582942097026604068857589983,0.4812206572769953051643192487,1
corpora/cities_pp/c21_pp_wostw.txt,0.06383747854008055,0.3747863247863247863247863247,0.637179487179487179487179487,0.3863247863247863247863247863,1
corpora/cities_pp/c22_pp_wostw.txt,0.0498911086025333,0.3915259847732538894405825887,0.628003972194637537239324727,0.428003972194637537239324727,1
corpora/cities_pp/c23_pp_wostw.txt,0.06391800504264132,0.488978113682884585104707920,0.5717997165800661313179026927,0.5152731853251456463549047393,1
corpora/cities_pp/c24_pp_wostw.txt,0.08102519918952264,0.407506702412868632707774799,0.6085790884718498659517426273,0.412868632707774798927613941,1
corpora/cities_pp/c25_pp_wostw.txt,0.03621203450414342,0.4771241830065359477124183007,0.556058320764203117144293615,0.496396849338025808614043908,1
corpora/cities_pp/c26_pp_wostw.txt,0.02947050294927732,0.432522407170294494238156210,0.5677336747759282970550576183,0.4588988476312419974391805377,1
corpora/cities_pp/c27_pp_wostw.txt,0.03870836770445176,0.459043250327653997378768021,0.5258846657929226736566186107,0.488313674093490607252075142,1
corpora/cities_pp/c28_pp_wostw.txt,0.039453692116049106,0.4668378262729995721009841677,0.586328626444159178433889602,0.468977321352160890029952931,1
corpora/cities_pp/c29_pp_wostw.txt,0.06850608841555277,0.4019394992039368939064987697,0.568823273990447242726877985,0.4059921841076856274424663483,1
corpora/cities_pp/c2_pp_wostw.txt,0.07471104351676139,0.433194488945850688881768664,0.565844280679269464915091317,0.4402435116949695610381288047,1
corpora/cities_pp/c30_pp_wostw.txt,0.04972468086583728,0.436142541292755885030563142,0.567499024580569644947327351,0.4548705943555728963454285343,1
corpora/cities_pp/c31_pp_wostw.txt,0.0346028341844928,0.4028508771929824561403508773,0.6226973684210526315789473683,0.4121710526315789473684210527,1
corpora/cities_pp/c32_pp_wostw.txt,0.026092492579362248,0.418990820323919780155528270,0.6091913699350991054201017367,0.437408641758755773840846635,1
corpora/cities_pp/c33_pp_wostw.txt,0.04447087288798538,0.4707527975584944048830111903,0.5648524923702950152594099693,0.479993218040013563919972872,1
corpora/cities_pp/c34_pp_wostw.txt,0.0264721341808348,0.4637715364644795846117535993,0.5848477696483360868539060657,0.4777751553772323184643222407,1
corpora/cities_pp/c35_pp_wostw.txt,0.039637851747400164,0.438979963570127504553734062,0.5607923497267759562841530053,0.4607240437158469945355191257,1
corpora/cities_pp/c36_pp_wostw.txt,0.038751726106264185,0.4275044650105536613086540023,0.572820263029712615684364345,0.433999025815879201169020945,1
corpora/cities_pp/c37_pp_wostw.txt,0.037732188969225956,0.4315111530003141690229343387,0.597078228086710650329877474,0.4428212378259503612943763747,1
corpora/cities_pp/c38_pp_wostw.txt,0.04466664759154387,0.469752334551360129922858303,0.5249695493300852618757612667,0.478819867370415482473947760,1
corpora/cities_pp/c39_pp_wostw.txt,0.033057941191340985,0.412900488011882028431996605,0.5887969446212603437301082113,0.4241459792064502440059410143,1
corpora/cities_pp/c3_pp_wostw.txt,0.046524838239877166,0.413842358135307102973639787,0.643163225555122711336190105,0.427736657576938059992208804,1
corpora/cities_pp/c40_pp_wostw.txt,0.04166820489728538,0.4704289582442639304546102323,0.558358272766139375801624626,0.4786945988314094342311529143,1
corpora/cities_pp/c41_pp_wostw.txt,0.04279077437419018,0.3910830844119924770439207877,0.606704281447062728177895785,0.4051333112069919238853855513,1
corpora/cities_pp/c42_pp_wostw.txt,0.05089369887309722,0.449728648957440731219651528,0.553984575835475578406169666,0.476720936875178520422736361,1
corpora/cities_pp/c43_pp_wostw.txt,0.05247021634471863,0.469397363465160075329566855,0.617231638418079096045197740,0.469397363465160075329566855,1
corpora/cities_pp/c44_pp_wostw.txt,0.03713038537216861,0.474501108647450110864745011,0.5365853658536585365853658537,0.489775806848977580684897758,1
corpora/cities_pp/c45_pp_wostw.txt,0.06033485504280112,0.3550852439741328630217519107,0.656084656084656084656084656,0.3639035861258083480305702527,1
corpora/cities_pp/c46_pp_wostw.txt,0.03903230040690001,0.3215214564369310793237971392,0.6436931079323797139141742523,0.3666016471608149111400086693,1
corpora/cities_pp/c47_pp_wostw.txt,0.03688667563937666,0.4360038026099732088842796647,0.532797511018926626912107856,0.484573502722323049001814882,1
corpora/cities_pp/c48_pp_wostw.txt,0.036355167566192476,0.3986307231493367565254599913,0.580487804878048780487804878,0.4488660676080445014976465553,1
corpora/cities_pp/c49_pp_wostw.txt,0.07267361003403157,0.413877952755905511811023622,0.565452755905511811023622047,0.4342191601049868766404199477,1
corpora/cities_pp/c4_pp_wostw.txt,0.026461579458263166,0.4428168402777777777777777777,0.6123046875,0.4645182291666666666666666667,1
corpora/cities_pp/c50_pp_wostw.txt,0.06682172112579528,0.3675041876046901172529313233,0.6241206030150753768844221107,0.403685092127303182579564489,1
