alpha,beta,kappa,nmi
0.1,0.1,0.6,1.2821685480551734e-15
0.1,0.1,0.8,1.2821685480551734e-15
0.1,0.1,1,1.2821685480551734e-15
0.1,1,0,1.2821685480551734e-15
0.1,1,0.2,1.2821685480551734e-15
0.1,1,0.4,1.2821685480551734e-15
0.1,1,0.6,1.2821685480551734e-15
0.1,1,0.8,1.2821685480551734e-15
0.1,1,1,1.2821685480551734e-15
0.1,10,0,1.2821685480551734e-15
0.1,10,0.2,1.2821685480551734e-15
0.1,10,0.4,1.2821685480551734e-15
0.1,10,0.6,1.2821685480551734e-15
0.1,10,0.8,1.2821685480551734e-15
0.1,10,1,1.2821685480551734e-15
0.1,100,0,0.055288701849626885
0.1,100,0.2,0.04956857150696981
0.1,100,0.4,0.062157161201807275
0.1,100,0.6,0.05497411419093113
0.1,100,0.8,0.04828548206984302
0.1,100,1,0.053205425416125766
1,0.001,0,1.2821685480551734e-15
1,0.001,0.2,1.2821685480551734e-15
1,0.001,0.4,1.2821685480551734e-15
1,0.001,0.6,1.2821685480551734e-15
1,0.001,0.8,5.906660288347305e-05
1,0.001,1,0.002631643359411428
1,0.01,0,1.2821685480551734e-15
1,0.01,0.2,1.2821685480551734e-15
1,0.01,0.4,1.2821685480551734e-15
1,0.01,0.6,1.2821685480551734e-15
1,0.01,0.8,6.616208273791305e-05
1,0.01,1,0.0017522862378589275
1,0.1,0,1.2821685480551734e-15
1,0.1,0.2,1.2821685480551734e-15
1,0.1,0.4,1.2821685480551734e-15
1,0.1,0.6,1.2821685480551734e-15
1,0.1,0.8,4.5547242716923555e-05
1,0.1,1,0.001976502274333966
1,1,0,1.2821685480551734e-15
1,1,0.2,1.2821685480551734e-15
1,1,0.4,1.2821685480551734e-15
1,1,0.6,1.2821685480551734e-15
1,1,0.8,7.719584620212712e-05
1,1,1,0.0020714971228451245
1,10,0,1.2821685480551734e-15
1,10,0.2,1.2821685480551734e-15
1,10,0.4,1.2821685480551734e-15
1,10,0.6,1.2821685480551734e-15
1,10,0.8,0.00010443392968632938
1,10,1,0.09918928032423201
1,100,0,0.05393937296504118
1,100,0.2,0.05440985187349394
1,100,0.4,0.05488138521828797
1,100,0.6,0.05607904033547872
1,100,0.8,0.05732278084561197
1,100,1,0.052734641073056795
10,0.001,0,0.00021430263937415397
10,0.001,0.2,0.0017956788450225487
10,0.001,0.4,0.002235167021736172
10,0.001,0.6,0.0013994021728219819
10,0.001,0.8,0.0011183566946107552
10,0.001,1,0.0017164155254808238
10,0.01,0,4.682508522373707e-06
10,0.01,0.2,0.0019049444285858927
10,0.01,0.4,0.0027190735256799724
10,0.01,0.6,0.00204838107153669
10,0.01,0.8,0.001289735658583606
10,0.01,1,0.0017636271076979981
10,0.1,0,3.780142213690955e-05
10,0.1,0.2,0.0023884025061347916
10,0.1,0.4,0.0005815633813232461
10,0.1,0.6,0.002359670780694487
10,0.1,0.8,0.00288310982795441
10,0.1,1,0.0012831081893850233
10,1,0,0.0001455735844475346
10,1,0.2,0.0011291873866109102
10,1,0.4,0.0016018271323549494
10,1,0.6,0.0007235668919477536
10,1,0.8,0.0010491026103639253
10,1,1,0.0016292827563648524
10,10,0,0.00048296168841072926
10,10,0.2,0.0020251283858599926
10,10,0.4,0.0013953897361417022
10,10,0.6,0.0011971603233520709
10,10,0.8,0.0025123416738632473
10,10,1,0.0021101987145263875
10,100,0,0.061049308639725706
10,100,0.2,0.054408794955676056
10,100,0.4,0.08018306366154969
10,100,0.6,0.12644817352004487
10,100,0.8,0.008289145216398461
10,100,1,0.0021469326924288164
100,0.001,0,0.0007868222980107264
100,0.001,0.2,0.0019964436013274133
100,0.001,0.4,0.0010478107350717215
100,0.001,0.6,0.002561620883114659
100,0.001,0.8,0.0009930425243040069
100,0.001,1,0.0006877549237040276
100,0.01,0,0.0012748663549681286
100,0.01,0.2,0.0010504717489536828
100,0.01,0.4,0.0015399564452627
100,0.01,0.6,0.0013798825741757755
100,0.01,0.8,0.003150286224331661
100,0.01,1,1.2821685480551734e-15
100,0.1,0,0.0025081506186212413
100,0.1,0.2,0.0006525146211580703
100,0.1,0.4,0.0012451444253083815
100,0.1,0.6,0.0023287831689466783
100,0.1,0.8,0.002328190315599949
100,0.1,1,0.0007288349325940632
100,1,0,0.0016308558122450293
100,1,0.2,0.0020121006924823234
100,1,0.4,0.0005727452367359111
100,1,0.6,0.0010901048491643052
100,1,0.8,0.001247176612167125
100,1,1,0.0016165407951031748
100,10,0,0.0016032069352813726
100,10,0.2,0.002967001742802659
100,10,0.4,0.0028749758182097167
100,10,0.6,0.0006030226972549232
100,10,0.8,0.001218164176558774
100,10,1,0.0019547570581123206
100,100,0,0.004028773132903898
100,100,0.2,0.0011950952668644986
100,100,0.4,0.002848068170174132
100,100,0.6,0.0007009693469445141
100,100,0.8,0.002844719588875841
100,100,1,0.0021001669641714667
