input_file,use_prior,n_test,n_token_per_chunk,mean_nmi,ci95_nmi
61320_199211_pp.txt,False,100,20,0.040876755257758815,0.001850957408358784
61320_200411_pp.txt,False,100,20,0.02763194456020332,0.0012325503029901362
61320_201211_pp.txt,False,100,20,0.020130882172059664,0.001115472470093738
61320_201611_pp.txt,False,100,20,0.01535842591289327,0.0007267640262760334
61620_200411_pp.txt,False,100,20,0.017439095383082068,0.0009555382209696292
61620_200811_pp.txt,False,100,20,0.01794113526780669,0.0007352935375237503
61620_201211_pp.txt,False,100,20,0.014280435668747123,0.0006327681213916206
61620_201611_pp.txt,False,100,20,0.01158743747939712,0.0005109543716493488
61320_199211_pp.txt,False,100,50,0.07260280971568077,0.002805994366127199
61320_200411_pp.txt,False,100,50,0.055673115044259924,0.002565374331888377
61320_201211_pp.txt,False,100,50,0.04151280433486194,0.0022429015837713375
61320_201611_pp.txt,False,100,50,0.028845577361404043,0.0013513451963829651
61620_200411_pp.txt,False,100,50,0.03733123518242324,0.001906990776291815
61620_200811_pp.txt,False,100,50,0.03625153818412715,0.0019352482060328315
61620_201211_pp.txt,False,100,50,0.0271151953279865,0.0013444538250682238
61620_201611_pp.txt,False,100,50,0.023029768966399185,0.0011454880388827747
