input_file,use_prior,n_test,n_token_per_chunk,mean_nmi,ci95_nmi
mix_word1.txt,False,100,20,0.0007341453931113956,6.34900382810096e-05
mix_word5.txt,False,100,20,0.005519741408812632,0.0004678924281244342
mix_sent1.txt,False,100,20,0.017378636922841407,0.0013232990948838486
mix_sent5.txt,False,100,20,0.03933296396754275,0.003153082309215132
mix_word1.txt,False,100,50,0.0007490247810600745,7.359111428273999e-05
mix_word5.txt,False,100,50,0.003716507700524816,0.0003032808963769595
mix_sent1.txt,False,100,50,0.013922577905422067,0.0010979120247928654
mix_sent5.txt,False,100,50,0.07114558539596882,0.005112914402966261
mix_word1.txt,False,100,100,0.0007061307432467332,6.4235242584245e-05
mix_word5.txt,False,100,100,0.0029477602476003996,0.00024720810857345476
mix_sent1.txt,False,100,100,0.010878418870359402,0.0008116419469443722
mix_sent5.txt,False,100,100,0.06662375864481752,0.0058611940766921345
mix_word1.txt,False,100,200,0.0006433320069455864,5.557089088157769e-05
mix_word5.txt,False,100,200,0.0030924898456089244,0.0002550104258991694
mix_sent1.txt,False,100,200,0.009597090986581975,0.0008677872260910707
mix_sent5.txt,False,100,200,0.044693239409281944,0.003860155819369754
mix_word1.txt,False,100,300,0.0005785283799265289,5.328117520950614e-05
mix_word5.txt,False,100,300,0.002759517270457649,0.00022095956814600074
mix_sent1.txt,False,100,300,0.009742761024935353,0.0007249491169749383
mix_sent5.txt,False,100,300,0.06745468030910148,0.0052741694305009435
mix_word1.txt,False,100,400,0.0006849389089724929,7.483175178376979e-05
mix_word5.txt,False,100,400,0.0027478138535158214,0.00026091535712059993
mix_sent1.txt,False,100,400,0.008144212371060467,0.0006363298936199432
mix_sent5.txt,False,100,400,0.03860495915717826,0.002851706214412787
mix_word1.txt,False,100,500,0.0005388848370374376,5.1033917201619136e-05
mix_word5.txt,False,100,500,0.002398475691672715,0.00019231531510191315
mix_sent1.txt,False,100,500,0.009468985652365747,0.0008199250843566238
mix_sent5.txt,False,100,500,0.03395827821389759,0.002785276902270147
