input_file,n_groups,n_tests,dist_option,exch_mat_opt,exch_range,alpha,beta,kappa,mean_nmi,mean_pk,mean_rdm_pk,mean_wd,mean_rdm_wd,mean_ext_nmi,mean_ext_pk,mean_rdm_ext_pk,mean_ext_wd,mean_rdm_ext_wd
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,5,0,0.0,0.4032258064516129032258064517,0.575268817204301075268817204,0.4032258064516129032258064517,0.8655913978494623655913978497,0.0,0.430451907131011608623548922,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,5,0.25,0.0,0.4032258064516129032258064517,0.5967741935483870967741935483,0.4032258064516129032258064517,0.940860215053763440860215054,0.0,0.430451907131011608623548922,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,5,0.5,0.0,0.4032258064516129032258064517,0.6075268817204301075268817207,0.4032258064516129032258064517,0.924731182795698924731182796,0.0,0.430451907131011608623548922,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,5,0.75,0.0,0.4032258064516129032258064517,0.5967741935483870967741935483,0.4032258064516129032258064517,0.9247311827956989247311827957,0.0,0.430451907131011608623548922,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,5,1,0.614675807458323,0.3924731182795698924731182797,0.5967741935483870967741935487,0.3978494623655913978494623657,0.9086021505376344086021505377,0.614675807458323,0.3974226091763405196241017137,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,10,0,0.0,0.4032258064516129032258064517,0.5860215053763440860215053763,0.4032258064516129032258064517,0.930107526881720430107526882,0.0,0.430451907131011608623548922,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,10,0.25,0.0,0.4032258064516129032258064517,0.5967741935483870967741935483,0.4032258064516129032258064517,0.9193548387096774193548387097,0.0,0.430451907131011608623548922,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,10,0.5,0.0,0.4032258064516129032258064517,0.5967741935483870967741935483,0.4032258064516129032258064517,0.9354838709677419354838709677,0.0,0.430451907131011608623548922,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,10,0.75,0.19055777224712486,0.467741935483870967741935484,0.5967741935483870967741935483,0.473118279569892473118279570,0.9247311827956989247311827957,0.19055777224712486,0.4868884742951907131011608623,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,10,1,0.628669124681618,0.3494623655913978494623655913,0.5967741935483870967741935483,0.3494623655913978494623655913,0.9139784946236559139784946237,0.628669124681618,0.3440782200110558319513543393,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,50,0,0.7076258365094428,0.4139784946236559139784946237,0.5967741935483870967741935483,0.537634408602150537634408602,0.9139784946236559139784946237,0.7076258365094428,0.3682974018794914317302377003,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,50,0.25,0.723974094593013,0.4247311827956989247311827957,0.5967741935483870967741935483,0.543010752688172043010752688,0.9086021505376344086021505373,0.723974094593013,0.371907822001105583195135434,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,50,0.5,0.7439577223359337,0.4193548387096774193548387097,0.5913978494623655913978494623,0.532258064516129032258064516,0.9247311827956989247311827957,0.7439577223359337,0.3740153399668325041459369817,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,50,0.75,0.7399146416360544,0.3924731182795698924731182797,0.5806451612903225806451612903,0.473118279569892473118279570,0.8548387096774193548387096773,0.7399146416360544,0.3582953289110005527915975677,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,50,1,0.7820311526340431,0.3655913978494623655913978493,0.5913978494623655913978494623,0.4354838709677419354838709677,0.9032258064516129032258064517,0.7820311526340431,0.3430590105030403537866224433,0.569548092868988391376451078,1.0,1.0
