input_file,n_groups,n_tests,dist_option,exch_mat_opt,exch_range,alpha,beta,kappa,mean_nmi,mean_pk,mean_rdm_pk,mean_wd,mean_rdm_wd,mean_ext_nmi,mean_ext_pk,mean_rdm_ext_pk,mean_ext_wd,mean_rdm_ext_wd
corpora/wiki50_pp/6544206_pp_wostw.txt,2,3,max_minus,u,5,1,5,0,2.1760548220768873e-16,0.4137931034482758620689655173,0.5747126436781609195402298853,0.4137931034482758620689655173,0.9425287356321839080459770117,2.1760548220768873e-16,0.440229518648390181702263309,0.559770481351609818297736691,1.0,1.0
corpora/wiki50_pp/6544206_pp_wostw.txt,2,3,max_minus,u,5,1,5,0.25,2.1760548220768873e-16,0.4137931034482758620689655173,0.574712643678160919540229885,0.4137931034482758620689655173,0.9310344827586206896551724137,2.1760548220768873e-16,0.440229518648390181702263309,0.559770481351609818297736691,1.0,1.0
corpora/wiki50_pp/6544206_pp_wostw.txt,2,3,max_minus,u,5,1,5,0.5,0.09620591639821659,0.3678160919540229885057471263,0.5632183908045977011494252873,0.425287356321839080459770115,0.9770114942528735632183908047,0.09620591639821659,0.3847625119540962703219636597,0.559770481351609818297736691,1.0,1.0
corpora/wiki50_pp/6544206_pp_wostw.txt,2,3,max_minus,u,5,1,5,0.75,0.3111382396506203,0.344827586206896551724137931,0.574712643678160919540229885,0.4022988505747126436781609193,0.919540229885057471264367816,0.3111382396506203,0.3574540431410052066730421847,0.559770481351609818297736691,1.0,1.0
corpora/wiki50_pp/6544206_pp_wostw.txt,2,3,max_minus,u,5,1,5,1,0.5360175116935013,0.3563218390804597701149425287,0.5977011494252873563218390807,0.3563218390804597701149425287,0.9425287356321839080459770117,0.5360175116935013,0.3623419402826479651471682073,0.559770481351609818297736691,1.0,1.0
corpora/wiki50_pp/6544206_pp_wostw.txt,2,3,max_minus,u,5,1,10,0,0.38798687263220794,0.2298850574712643678160919540,0.586206896551724137931034483,0.3678160919540229885057471263,0.9770114942528735632183908047,0.38798687263220794,0.2131548188290298586760174264,0.559770481351609818297736691,1.0,1.0
corpora/wiki50_pp/6544206_pp_wostw.txt,2,3,max_minus,u,5,1,10,0.25,0.4120259341478394,0.2528735632183908045977011494,0.5747126436781609195402298853,0.3678160919540229885057471263,0.9540229885057471264367816093,0.4120259341478394,0.2464137711189034109021357985,0.559770481351609818297736691,1.0,1.0
corpora/wiki50_pp/6544206_pp_wostw.txt,2,3,max_minus,u,5,1,10,0.5,0.4168777207730982,0.2988505747126436781609195402,0.586206896551724137931034483,0.3908045977011494252873563217,0.9425287356321839080459770117,0.4168777207730982,0.3053873127191584316225693338,0.559770481351609818297736691,1.0,1.0
corpora/wiki50_pp/6544206_pp_wostw.txt,2,3,max_minus,u,5,1,10,0.75,0.4666371157538034,0.2528735632183908045977011494,0.586206896551724137931034483,0.344827586206896551724137931,0.965517241379310344827586207,0.4666371157538034,0.2650090319838486877058761024,0.559770481351609818297736691,1.0,1.0
corpora/wiki50_pp/6544206_pp_wostw.txt,2,3,max_minus,u,5,1,10,1,0.4702741890829441,0.2758620689655172413793103448,0.6091954022988505747126436783,0.344827586206896551724137931,0.9425287356321839080459770117,0.4702741890829441,0.2941238975666772925300180640,0.559770481351609818297736691,1.0,1.0
