input_file,n_groups,n_tests,use_prior,chunk_size,mean_nmi,mean_pk,mean_rdm_pk,mean_wd,mean_rdm_wd
corpora/wiki50_pp/6544206_pp_wostw.txt,5,20,True,23,0.2590959957594723,0.543795620437956204379562044,0.5547445255474452554744525545,0.8173965936739659367396593675,1
corpora/wiki50_pp/6544206_pp_wostw.txt,5,20,False,23,0.28715468675044087,0.5484184914841849148418491485,0.5547445255474452554744525545,0.819343065693430656934306569,1
corpora/wiki50_pp/6544206_pp_wostw.txt,5,20,True,46,0.44034333568912204,0.51995133819951338199513382,0.5547445255474452554744525545,0.5631386861313868613138686135,1
corpora/wiki50_pp/6544206_pp_wostw.txt,5,20,False,46,0.4139421646426884,0.512895377128953771289537713,0.5547445255474452554744525545,0.615328467153284671532846715,1
corpora/wiki50_pp/6544206_pp_wostw.txt,5,20,True,69,0.45541467242520917,0.5526763990267639902676399025,0.5547445255474452554744525545,0.5930656934306569343065693435,1
corpora/wiki50_pp/6544206_pp_wostw.txt,5,20,False,69,0.4751459591837418,0.5380778588807785888077858885,0.5547445255474452554744525545,0.573844282238442822384428224,1
corpora/wiki50_pp/6544206_pp_wostw.txt,5,20,True,92,0.47455410341150567,0.4975669099756690997566909975,0.5547445255474452554744525545,0.559124087591240875912408759,1
corpora/wiki50_pp/6544206_pp_wostw.txt,5,20,False,92,0.5222831313560035,0.5093673965936739659367396595,0.5547445255474452554744525545,0.5389294403892944038929440385,1
corpora/wiki50_pp/6544206_pp_wostw.txt,5,20,True,115,0.5391606401927235,0.4440389294403892944038929441,0.5547445255474452554744525545,0.4841849148418491484184914842,1
corpora/wiki50_pp/6544206_pp_wostw.txt,5,20,False,115,0.5090268059948377,0.4600973236009732360097323601,0.5547445255474452554744525545,0.4806569343065693430656934306,1
corpora/wiki50_pp/6544206_pp_wostw.txt,5,20,True,138,0.4061461581298979,0.536739659367396593673965937,0.5547445255474452554744525545,0.541970802919708029197080292,1
corpora/wiki50_pp/6544206_pp_wostw.txt,5,20,False,138,0.4786416128575065,0.5424574209245742092457420925,0.5547445255474452554744525545,0.5624087591240875912408759125,1
corpora/wiki50_pp/6544206_pp_wostw.txt,5,20,True,161,0.46770425810265265,0.5598540145985401459854014595,0.5547445255474452554744525545,0.618248175182481751824817518,1
corpora/wiki50_pp/6544206_pp_wostw.txt,5,20,False,161,0.40365664454535544,0.5586374695863746958637469585,0.5547445255474452554744525545,0.6210462287104622871046228705,1
corpora/wiki50_pp/6544206_pp_wostw.txt,5,20,True,184,0.5507696736664831,0.3998783454987834549878345499,0.5547445255474452554744525545,0.4622871046228710462287104623,1
corpora/wiki50_pp/6544206_pp_wostw.txt,5,20,False,184,0.5688179184294267,0.4199513381995133819951338200,0.5547445255474452554744525545,0.4594890510948905109489051095,1
corpora/wiki50_pp/6544206_pp_wostw.txt,5,20,True,207,0.558671804934678,0.3972019464720194647201946471,0.5547445255474452554744525545,0.4504866180048661800486618004,1
corpora/wiki50_pp/6544206_pp_wostw.txt,5,20,False,207,0.5487948026140123,0.4006082725060827250608272505,0.5547445255474452554744525545,0.4065693430656934306569343064,1
corpora/wiki50_pp/6544206_pp_wostw.txt,5,20,True,230,0.37152305972681865,0.4659367396593673965936739661,0.5547445255474452554744525545,0.4911192214111922141119221414,1
corpora/wiki50_pp/6544206_pp_wostw.txt,5,20,False,230,0.38482479549803306,0.4553527980535279805352798056,0.5547445255474452554744525545,0.4828467153284671532846715330,1
