input_file,n_groups,n_tests,use_prior,chunk_size,mean_nmi,mean_pk,mean_rdm_pk,mean_wd,mean_rdm_wd
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,146,0.1866727745083133,0.4305000000000000000000000000,0.6375,0.4805178571428571428571428570,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,146,0.18742896284764327,0.4630535714285714285714285715,0.6375,0.5020714285714285714285714285,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,292,0.27411522524024623,0.4066607142857142857142857142,0.6375,0.4439821428571428571428571429,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,292,0.2591183660935332,0.3932500000000000000000000001,0.6375,0.4379285714285714285714285714,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,438,0.24002029184126217,0.4532142857142857142857142857,0.6375,0.4689642857142857142857142857,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,438,0.2738922027165301,0.4606964285714285714285714285,0.6375,0.4843214285714285714285714286,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,584,0.2656312453173266,0.4130357142857142857142857142,0.6375,0.4411071428571428571428571428,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,584,0.2652897091809368,0.4269107142857142857142857142,0.6375,0.4393750000000000000000000000,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,730,0.2398205854214511,0.4287857142857142857142857142,0.6375,0.4607678571428571428571428571,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,730,0.3149653503538273,0.4083749999999999999999999998,0.6375,0.4215535714285714285714285713,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,876,0.30621603148991905,0.3946071428571428571428571428,0.6375,0.4125714285714285714285714286,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,876,0.26838885214030633,0.3960714285714285714285714286,0.6375,0.4155892857142857142857142857,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,1022,0.3560241097846548,0.3537321428571428571428571428,0.6375,0.4274285714285714285714285714,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,1022,0.37017748900228287,0.3235000000000000000000000000,0.6375,0.3454464285714285714285714286,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,1168,0.3439692658963565,0.3794464285714285714285714286,0.6375,0.4051964285714285714285714287,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,1168,0.25926071666316186,0.3534821428571428571428571428,0.6375,0.3855892857142857142857142859,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,1314,0.3120622745948721,0.4037678571428571428571428572,0.6375,0.4335714285714285714285714287,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,1314,0.24901048825483135,0.4117142857142857142857142856,0.6375,0.4535892857142857142857142857,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,1460,0.2500681877403831,0.3878571428571428571428571428,0.6375,0.4466607142857142857142857143,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,1460,0.20231186973164425,0.3625,0.6375,0.3632142857142857142857142857,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,1606,0.2262534969319025,0.4016250000000000000000000000,0.6375,0.4395535714285714285714285714,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,1606,0.2518353811424857,0.3949642857142857142857142856,0.6375,0.4364821428571428571428571428,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,1752,0.21664862871677842,0.4061964285714285714285714285,0.6375,0.4415714285714285714285714285,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,1752,0.17501909379826414,0.4026428571428571428571428571,0.6375,0.4460357142857142857142857142,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,1898,0.20971910366771032,0.4019999999999999999999999999,0.6375,0.4093928571428571428571428570,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,1898,0.17500660262881906,0.4091250000000000000000000000,0.6375,0.4305000000000000000000000000,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,2044,0.22245470897153172,0.4217678571428571428571428572,0.6375,0.4979107142857142857142857142,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,2044,0.2133282894531147,0.3594107142857142857142857144,0.6375,0.3939999999999999999999999998,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,2190,0.2713970421048454,0.3903571428571428571428571428,0.6375,0.3903571428571428571428571428,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,2190,0.17950931031734632,0.4172321428571428571428571428,0.6375,0.4448035714285714285714285714,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,2336,0.23105338288819013,0.3434821428571428571428571430,0.6375,0.3482142857142857142857142859,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,2336,0.1878578710830449,0.3840535714285714285714285715,0.6375,0.4039821428571428571428571430,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,2482,0.1792967183202753,0.3555892857142857142857142856,0.6375,0.3742500000000000000000000002,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,2482,0.19646245907325616,0.3690535714285714285714285713,0.6375,0.3945535714285714285714285716,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,2628,0.11971630250052487,0.4024642857142857142857142855,0.6375,0.4431964285714285714285714284,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,2628,0.12594993643644423,0.371642857142857142857142857,0.6375,0.3897142857142857142857142856,1
corpora/cities_pp/c3_pp_wostw.txt,2,20,False,2774,0.0795242358586188,0.3723928571428571428571428572,0.6375,0.4129285714285714285714285716,1
