input_file,label_ratio,sim_tag,n_groups,n_tests,dist_option,exch_mat_opt,exch_range,alpha,beta,kappa,mean_nmi,mean_pk,mean_rdm_pk,mean_wd,mean_rdm_wd
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,5,0,0.0,0.3922193877551020408163265307,0.6077806122448979591836734693,0.3922193877551020408163265307,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,5,0.25,0.0008382088396893475,0.406368102796674225245653817,0.6077806122448979591836734693,0.4112103174603174603174603173,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,5,0.5,0.004661347108364641,0.437736205593348450491307634,0.6077806122448979591836734693,0.451625094482237339380196523,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,5,0.75,0.003057983619349905,0.4519321617535903250188964473,0.6077806122448979591836734693,0.4770171957671957671957671957,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,5,1,0.0027707182703324714,0.452357331821617535903250189,0.6077806122448979591836734693,0.4797099395313681027966742253,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,10,0,0.0,0.3922193877551020408163265307,0.6077806122448979591836734693,0.3922193877551020408163265307,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,10,0.25,0.0010538962531657634,0.4067224111866969009826152683,0.6077806122448979591836734693,0.4126747921390778533635676493,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,10,0.5,0.004993917163908265,0.4429091080876795162509448223,0.6077806122448979591836734693,0.457813681027966742252456538,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,10,0.75,0.003621724739494019,0.4528297430083144368858654573,0.6077806122448979591836734693,0.4781273620559334845049130763,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,10,1,0.0031804974517912125,0.4522864701436130007558578987,0.6077806122448979591836734693,0.4807492441421012849584278157,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,50,0,0.004285413237589753,0.601592025699168556311413454,0.6077806122448979591836734693,0.9677343159486016628873771733,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,50,0.25,0.004902163357040803,0.5995606575963718820861678003,0.6077806122448979591836734693,0.9578373015873015873015873017,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,50,0.5,0.0059464810022306115,0.5963718820861678004535147393,0.6077806122448979591836734693,0.943783068783068783068783069,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,50,0.75,0.007689549578671973,0.5884589947089947089947089947,0.6077806122448979591836734693,0.9165013227513227513227513227,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,50,1,0.012405679178048896,0.5615551776266061980347694633,0.6077806122448979591836734693,0.8476237717309145880574452003,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,100,0,0.00011087220223090118,0.6044501133786848072562358277,0.6077806122448979591836734693,0.990646258503401360544217687,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,100,0.25,0.00010245024412285292,0.604308390022675736961451247,0.6077806122448979591836734693,0.9904336734693877551020408163,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,100,0.5,0.00012561610652815346,0.6056783824640967498110355253,0.6077806122448979591836734693,0.9888983371126228269085411943,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,100,0.75,0.00013526642699399606,0.6047335600907029478458049887,0.6077806122448979591836734693,0.9871031746031746031746031747,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,100,1,0.00014982414360099775,0.6035997732426303854875283447,0.6077806122448979591836734693,0.9840325018896447467876039307,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,200,0,0.0001414740903783361,0.605654761904761904761904762,0.6077806122448979591836734693,0.993693310657596371882086168,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,200,0.25,0.00014296609175715232,0.605087868480725623582766440,0.6077806122448979591836734693,0.992842970521541950113378685,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,200,0.5,0.0001561097021695726,0.605087868480725623582766440,0.6077806122448979591836734693,0.992842970521541950113378685,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,200,0.75,0.00013808474425771358,0.605087868480725623582766440,0.6077806122448979591836734693,0.992559523809523809523809524,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,1,200,1,0.00014767211616151945,0.605087868480725623582766440,0.6077806122448979591836734693,0.9921343537414965986394557823,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,5,0,0.0027707182703324714,0.452357331821617535903250189,0.6077806122448979591836734693,0.4797099395313681027966742253,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,5,0.25,0.002784118101959995,0.4515778533635676492819349963,0.6077806122448979591836734693,0.4788595993953136810279667423,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,5,0.5,0.002969811496848406,0.4484599395313681027966742253,0.6077806122448979591836734693,0.4739229024943310657596371883,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,5,0.75,0.008268216614431658,0.426162131519274376417233560,0.6077806122448979591836734693,0.4391298185941043083900226757,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,5,1,0.007670874492892144,0.3931878306878306878306878307,0.6077806122448979591836734693,0.394345238095238095238095238,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,10,0,0.0031804974517912125,0.4522864701436130007558578987,0.6077806122448979591836734693,0.4807492441421012849584278157,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,10,0.25,0.003164417962504802,0.4491685563114134542705971277,0.6077806122448979591836734693,0.4775840891912320483749055177,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,10,0.5,0.0019128663515514375,0.4531368102796674225245653817,0.6077806122448979591836734693,0.4764503023431594860166288737,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,0,w2v,2,3,max_minus,u,5,2,10,0.75,0.0026147910448605168,0.4231386999244142101284958427,0.6077806122448979591836734693,0.435964663643235071806500378,1
