input_file,n_groups,n_tests,use_prior,chunk_size,mean_nmi,mean_pk,mean_rdm_pk,mean_wd,mean_rdm_wd
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,23,0.13223768834649502,0.536131386861313868613138686,0.5547445255474452554744525545,0.648540145985401459854014599,1
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,23,0.14274654035333686,0.4903892944038929440389294405,0.5547445255474452554744525545,0.6245742092457420924574209245,1
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,46,0.24661562433020495,0.5105839416058394160583941605,0.5547445255474452554744525545,0.548175182481751824817518248,1
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,46,0.23956567234595197,0.4590024330900243309002433090,0.5547445255474452554744525545,0.4888077858880778588807785888,1
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,69,0.24668288014540773,0.503163017031630170316301703,0.5547445255474452554744525545,0.53004866180048661800486618,1
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,69,0.23828583677291798,0.5136253041362530413625304135,0.5547445255474452554744525545,0.537591240875912408759124088,1
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,92,0.30773685816478713,0.4757907542579075425790754258,0.5547445255474452554744525545,0.5066909975669099756690997565,1
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,92,0.2975830779153791,0.4756690997566909975669099757,0.5547445255474452554744525545,0.4922141119221411192214111922,1
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,115,0.3556755148874008,0.4698296836982968369829683700,0.5547445255474452554744525545,0.4774939172749391727493917276,1
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,115,0.3034731422939794,0.4756690997566909975669099758,0.5547445255474452554744525545,0.518126520681265206812652068,1
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,138,0.28904036998401306,0.524574209245742092457420925,0.5547445255474452554744525545,0.5451338199513381995133819955,1
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,138,0.25733940105920805,0.525182481751824817518248175,0.5547445255474452554744525545,0.538686131386861313868613139,1
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,161,0.2629108566168129,0.55961070559610705596107056,0.5547445255474452554744525545,0.5672749391727493917274939175,1
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,161,0.3457195509020395,0.5088807785888077858880778585,0.5547445255474452554744525545,0.517153284671532846715328467,1
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,184,0.3681632744371734,0.4173965936739659367396593674,0.5547445255474452554744525545,0.4425790754257907542579075425,1
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,184,0.37477833289389295,0.4237226277372262773722627737,0.5547445255474452554744525545,0.4349148418491484184914841848,1
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,207,0.3980723949924189,0.4053527980535279805352798054,0.5547445255474452554744525545,0.4222627737226277372262773722,1
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,207,0.3818716628957156,0.3985401459854014598540145985,0.5547445255474452554744525545,0.441970802919708029197080292,1
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,230,0.3343899393897889,0.4622871046228710462287104624,0.5547445255474452554744525545,0.4622871046228710462287104624,1
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,230,0.33728078839354086,0.4684914841849148418491484186,0.5547445255474452554744525545,0.4907542579075425790754257909,1
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,253,0.22781733934370654,0.5068126520681265206812652065,0.5547445255474452554744525545,0.5068126520681265206812652065,1
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,253,0.2071066721306424,0.501216545012165450121654501,0.5547445255474452554744525545,0.501216545012165450121654501,1
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,276,0.21118419774160993,0.5118004866180048661800486615,0.5547445255474452554744525545,0.5313868613138686131386861315,1
corpora/wiki50_pp/6544206_pp_wostw.txt,2,20,False,276,0.23691509238669414,0.5232360097323600973236009735,0.5547445255474452554744525545,0.528832116788321167883211679,1
