input_file,n_groups,n_tests,dist_option,exch_mat_opt,exch_range,alpha,beta,kappa,mean_nmi,mean_pk,mean_rdm_pk,mean_wd,mean_rdm_wd,mean_ext_nmi,mean_ext_pk,mean_rdm_ext_pk,mean_ext_wd,mean_rdm_ext_wd
corpora/manifesto_pp/61320_201211_pp_wostw.txt,2,3,max_minus,u,5,1,5,0,2.6757019668685795e-16,0.571210967250571210967250571,0.431073876618431073876618431,0.571210967250571210967250571,0.7275958365067275958365067277,2.6757019668685795e-16,0.3934298971436636615444328787,0.6065701028563363384555671213,0.3934298971436636615444328787,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,2,3,max_minus,u,5,1,5,0.25,2.6757019668685795e-16,0.571210967250571210967250571,0.4364051789794364051789794363,0.571210967250571210967250571,0.739020055851739020055851739,2.6757019668685795e-16,0.3934298971436636615444328787,0.6065701028563363384555671213,0.3934298971436636615444328787,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,2,3,max_minus,u,5,1,5,0.5,0.01796239423889222,0.5747651688245747651688245747,0.4376745366844376745366844377,0.575019040365575019040365575,0.739781670474739781670474740,0.01796239423889222,0.3967290626488594061502090647,0.6065701028563363384555671213,0.3968937268808477855601230277,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,2,3,max_minus,u,5,1,5,0.75,0.04021692036763478,0.565879664889565879664889566,0.4328509774054328509774054327,0.571972581873571972581873572,0.7303884234577303884234577303,0.04021692036763478,0.3922272601636056762113112567,0.6065701028563363384555671213,0.3945737254694400828025852283,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,2,3,max_minus,u,5,1,5,1,0.03791292875966698,0.5648641787255648641787255647,0.4305661335364305661335364307,0.5737496826605737496826605737,0.7293729372937293729372937293,0.03791292875966698,0.392441911751733385084949101,0.6065701028563363384555671213,0.3957704815840699117282099233,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,2,3,max_minus,u,5,1,10,0,2.6757019668685795e-16,0.571210967250571210967250571,0.429042904290429042904290429,0.571210967250571210967250571,0.733942625031733942625031734,2.6757019668685795e-16,0.3934298971436636615444328787,0.6065701028563363384555671213,0.3934298971436636615444328787,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,2,3,max_minus,u,5,1,10,0.25,0.0467361254168411,0.5783193703985783193703985783,0.4298045189134298045189134297,0.5816197004315816197004315817,0.7296268088347296268088347297,0.0467361254168411,0.4000311685867692289597337143,0.6065701028563363384555671213,0.4010603200366966002716959827,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,2,3,max_minus,u,5,1,10,0.5,0.12527172830196,0.569179994922569179994922569,0.4343742066514343742066514343,0.575019040365575019040365575,0.736989083523736989083523737,0.12527172830196,0.3947766153267114788612292183,0.6065701028563363384555671213,0.3971554253924007456937362903,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,2,3,max_minus,u,5,1,10,0.75,0.09505944340964795,0.5516628585935516628585935517,0.437928408225437928408225438,0.5653719218075653719218075653,0.7314039096217314039096217313,0.09505944340964795,0.388557600136436077933228654,0.6065701028563363384555671213,0.394085613638903100980340267,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,2,3,max_minus,u,5,1,10,1,0.08616031710563447,0.5590251332825590251332825593,0.431835491241431835491241432,0.5732419395785732419395785733,0.7288651942117288651942117287,0.08616031710563447,0.3903277406303111565898037557,0.6065701028563363384555671213,0.396220367789323876901724858,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,2,3,max_minus,u,5,1,50,0,0.21430018995634528,0.514851485148514851485148515,0.4346280781924346280781924347,0.5635948210205635948210205637,0.730134551916730134551916730,0.21430018995634528,0.377322206735943261410349147,0.6065701028563363384555671213,0.3931829007956810924295619343,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,2,3,max_minus,u,5,1,50,0.25,0.22394606876548892,0.511805026656511805026656512,0.438943894389438943894389439,0.559786747905559786747905560,0.730134551916730134551916730,0.22394606876548892,0.374561140417423828090541804,0.6065701028563363384555671213,0.3902895150050281399410737283,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,2,3,max_minus,u,5,1,50,0.5,0.2280449452046368,0.517897943640517897943640518,0.431835491241431835491241432,0.5613099771515613099771515613,0.7334348819497334348819497333,0.2280449452046368,0.3749933840263933240415659567,0.6065701028563363384555671213,0.390324800197597078386055292,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,2,3,max_minus,u,5,1,50,0.75,0.23137625738135215,0.5310992637725310992637725313,0.433104848946433104848946433,0.5638486925615638486925615637,0.7235338918507235338918507233,0.23137625738135215,0.3789306234305440388607587493,0.6065701028563363384555671213,0.390151314667466464364895938,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,2,3,max_minus,u,5,1,50,1,0.24294981572599514,0.5435389692815435389692815437,0.434120335110434120335110434,0.5638486925615638486925615637,0.733688753490733688753490734,0.24294981572599514,0.3852554941985262551237040043,0.6065701028563363384555671213,0.3923037114141717095087713107,1
corpora/manifesto_pp/61320_201211_pp_wostw.txt,2,3,max_minus,u,5,1,100,0,0.20823450231592502,0.5034272658035034272658035033,0.4328509774054328509774054327,0.5643564356435643564356435643,0.723026148768723026148768723,0.20823450231592502,0.374913992343113212540357439,0.6065701028563363384555671213,0.395202978070252818404756444,1
