__id__	__unit__	__context__	__count__
876	de	23	1
877	O	23	1
878	être	23	1
879	homme	23	1
880	beau	23	1
881	voilà	23	1
882	ciel	23	1
883	miniature	23	1
884	vif	23	1
885	peinture	23	1
886	ne	24	1
887	que	24	1
888	mon	24	1
889	vous	24	1
890	ce	24	1
891	je	24	1
892	un	24	1
893	le	24	1
894	de	24	2
895	dire	24	1
896	bon	24	1
897	me	24	1
898	fort	24	1
899	rien	24	1
900	avec	24	1
901	âme	24	1
902	considère-t-elle	24	1
903	attention	24	1
904	portrait	24	1
905	honneur	24	1
906	vilain	24	1
907	soupçon	24	1
908	sentir	24	1
909	ému	24	1
910	ne	25	1
911	jamais	25	1
912	que	25	2
913	mon	25	1
914	le	25	2
915	de	25	1
916	à	25	1
917	encor	25	1
918	plus	25	2
919	devoir	25	1
920	en	25	1
921	bon	25	1
922	beau	25	1
923	rien	25	1
924	or	25	1
925	se	25	2
926	cela	25	1
927	sentir	25	1
928	offrir	25	1
929	vue	25	1
930	travail	25	1
931	priser	25	1
932	oh	25	1
933	ah	26	1
934	je	26	1
935	le	26	1
936	en	26	1
937	quoi	26	1
938	tenir	26	1
939	peste	26	1
940	baiser	26	1
941	ah	27	1
942	ne	27	1
943	que	27	3
944	mon	27	2
945	je	27	1
946	avoir	27	1
947	un	27	3
948	pouvoir	27	1
949	et	27	1
950	le	27	2
951	de	27	4
952	à	27	1
953	faire	27	1
954	être	27	2
955	si	27	1
956	on	27	2
957	il	27	1
958	devoir	27	1
959	grand	27	1
960	en	27	1
961	bon	27	1
962	homme	27	1
963	voir	27	1
964	au	27	1
965	lieu	27	1
966	mari	27	1
967	avec	27	1
968	aussi	27	1
969	se	27	1
970	ainsi	27	1
971	attention	27	1
972	avouer	27	1
973	ravir	27	1
974	quand	27	1
975	servir	27	1
976	conter	27	1
977	penchant	27	1
978	tentation	27	1
979	mine	27	1
980	pelé	27	1
981	rustre..	27	1
982	ah	28	1
983	ne	28	2
984	que	28	1
985	mon	28	2
986	y	28	1
987	vous	28	4
988	ce	28	3
989	pas	28	2
990	un	28	2
991	pouvoir	28	3
992	et	28	5
993	par	28	1
994	votre	28	3
995	le	28	4
996	qui	28	2
997	de	28	4
998	nous	28	2
999	à	28	3
1000	moi	28	1
1001	être	28	2
1002	trop	28	1
1003	si	28	1
1004	quelque	28	1
1005	plus	28	1
1006	époux	28	1
1007	on	28	1
1008	quel	28	1
1009	il	28	1
1010	bien	28	2
1011	en	28	3
1012	mille	28	1
1013	pour	28	2
1014	donner	28	1
1015	nuit	28	1
1016	jour	28	1
1017	amour	28	1
1018	tout	28	3
1019	falloir	28	1
1020	au	28	1
1021	donc	28	2
1022	dont	28	1
1023	mari	28	1
1024	visage	28	1
1025	Madame	28	1
1026	chose	28	1
1027	content	28	1
1028	digne	28	1
1029	emporter	28	1
1030	partout	28	1
1031	trouver	28	1
1032	surprendre	28	1
1033	monde	28	1
1034	charmant	28	1
1035	femme	28	1
1036	honneur	28	1
1037	mâtiner	28	1
1038	faute	28	1
1039	contre	28	1
1040	diffamer	28	1
1041	cher	28	1
1042	calcul	28	1
1043	ô	28	1
1044	monsieur	28	1
1045	compter	28	1
1046	valoir	28	1
1047	Belzébut	28	1
1048	rare	28	1
1049	parti	28	1
1050	souhaiter	28	1
1051	redire	28	1
1052	taille	28	1
1053	port	28	1
1054	admirer	28	1
1055	propre	28	1
1056	beauté	28	1
1057	soupirer	28	1
1058	bref	28	1
1059	personne	28	1
1060	morceau	28	1
1061	rassasier	28	1
1062	appétit	28	1
1063	gourmand	28	1
1064	ragoût	28	1
1065	galant	28	1
1066	ce	29	1
1067	je	29	1
1068	par	29	1
1069	le	29	1
1070	à	29	1
1071	aller	29	1
1072	croire	29	1
1073	où	29	1
1074	entendre	29	1
1075	tu	29	1
1076	demi-mot	29	1
1077	raillerie	29	1
1078	moyen..	29	1
1079	mon	30	1
1080	vous	30	1
1081	je	30	3
1082	avoir	30	1
1083	un	30	1
1084	et	30	1
1085	le	30	1
1086	de	30	1
1087	autre	30	1
1088	être	30	1
1089	du	30	1
1090	bon	30	1
1091	me	30	1
1092	dans	30	1
1093	dont	30	1
1094	prier	30	1
1095	chose	30	1
1096	tenir	30	1
1097	mal	30	1
1098	avérer	30	1
1099	main	30	1
1100	certificat	30	1
1101	plaindre	30	1
1102	ne	31	2
1103	que	31	1
1104	mon	31	2
1105	avoir	31	1
1106	pas	31	1
1107	un	31	2
1108	et	31	1
1109	le	31	1
1110	de	31	2
1111	trop	31	1
1112	sans	31	1
1113	encor	31	1
1114	croire	31	1
1115	bijou	31	1
1116	courroux	31	1
1117	déjà	31	1
1118	violence	31	1
1119	charger	31	1
1120	nouveau	31	1
1121	offense	31	1
1122	écoute	31	1
1123	retenir	31	1
1124	songer	31	1
1125	peu..	31	1
1126	ne	32	1
1127	que	32	2
1128	je	32	3
1129	le	32	3
1130	à	32	1
1131	bien	32	1
1132	aussi	32	1
1133	tenir	32	2
1134	songer	32	1
1135	te	32	1
1136	rompre	32	1
1137	cou	32	1
1138	puis	32	1
1139	copie	32	1
1140	original	32	1
1141	pourquoi	33	1
1142	mon	34	3
1143	vous	34	1
1144	je	34	1
1145	avoir	34	1
1146	et	34	1
1147	votre	34	1
1148	le	34	5
1149	de	34	5
1150	devoir	34	1
1151	grand	34	1
1152	pour	34	1
1153	voilà	34	1
1154	tort	34	1
1155	vœu	34	1
1156	rien	34	1
1157	avec	34	1
1158	crier	34	1
1159	mie	34	1
1160	doux	34	1
1161	objet	34	1
1162	front	34	1
1163	don	34	1
1164	remercier	34	1
1165	beau-fils	34	1
1166	mignon	34	1
1167	couchette	34	1
1168	malheureux	34	1
1169	tison	34	1
1170	ton	34	1
1171	flamme	34	1
1172	secret	34	1
1173	drôle	34	1
1174	lequel..	34	1
1175	avec	35	1
1176	lequel..	35	1
1177	poursuivre	35	1
1178	je	36	1
1179	et	36	1
1180	de	36	1
1181	en	36	1
1182	avec	36	1
1183	te	36	1
1184	lequel	36	1
1185	dis-je..	36	1
1186	crever	36	1
1187	ennui	36	1
1188	que	37	1
1189	là	37	1
1190	ce	37	1
1191	par	37	1
1192	vouloir	37	1
1193	me	37	1
1194	donc	37	1
1195	conter	37	1
1196	maître	37	1
1197	ivrogne	37	1
1198	ne	38	2
1199	que	38	2
1200	mon	38	1
1201	je	38	2
1202	un	38	2
1203	et	38	1
1204	le	38	1
1205	qui	38	1
1206	deux	38	1
1207	à	38	1
1208	faire	38	1
1209	ou	38	1
1210	être	38	1
1211	trop	38	1
1212	bras	38	1
1213	plus	38	1
1214	madame	38	1
1215	on	38	2
1216	dire	38	1
1217	du	38	1
1218	en	38	2
1219	pour	38	2
1220	aller	38	1
1221	suivre|être	38	1
1222	me	38	4
1223	moins	38	1
1224	mais	38	1
1225	la|le	38	2
1226	toi	38	1
1227	nom	38	1
1228	entendre	38	1
1229	tu	38	1
1230	honneur	38	1
1231	te	38	1
1232	carogne	38	1
1233	Sganarelle	38	1
1234	appeler	38	1
1235	seigneur	38	1
1236	Cornélius	38	1
1237	ôter	38	1
1238	côte	38	1
1239	et	39	1
1240	de	39	1
1241	me	39	1
1242	tenir	39	1
1243	tu	39	1
1244	oser	39	1
1245	semblable	39	1
1246	discours	39	1
1247	ce	40	1
1248	et	40	1
1249	de	40	2
1250	me	40	1
1251	tu	40	1
1252	oser	40	1
1253	jouer	40	1
1254	diable	40	1
1255	tour	40	1
1256	et	41	1
1257	de	41	1
1258	sans	41	1
1259	quel	41	1
1260	parler	41	1
1261	donc	41	1
1262	rien	41	1
1263	diable	41	1
1264	tour	41	1
1265	feindre	41	1
1266	ah	42	1
1267	ne	42	1
1268	y	42	1
1269	pas	42	1
1270	sur	42	1
1271	un	42	2
1272	le	42	2
1273	de	42	3
1274	hélas	42	1
1275	voir	42	1
1276	me	42	1
1277	beau	42	1
1278	voilà	42	1
1279	venir	42	1
1280	se	42	1
1281	peine	42	1
1282	cela	42	1
1283	valoir	42	1
1284	plaindre	42	1
1285	front	42	1
1286	panache	42	1
1287	cerf	42	1
1288	pourvoir	42	1
1289	vraiment	42	1
1290	mon	43	1
1291	avoir	43	1
1292	un	43	3
1293	pouvoir	43	1
1294	le	43	6
1295	qui	43	3
1296	de	43	4
1297	faire	43	2
1298	être	43	2
1299	plus	43	1
1300	prendre	43	1
1301	pour	43	1
1302	me	43	1
1303	donc	43	1
1304	pareil	43	1
1305	tu	43	1
1306	après	43	1
1307	celui	43	2
1308	procédé	43	1
1309	femme	43	1
1310	courroux	43	1
1311	nouveau	43	1
1312	offense	43	2
1313	sensible	43	1
1314	exciter	43	1
1315	vengeance	43	1
1316	feint	43	1
1317	vain	43	1
1318	amusement	43	1
1319	prévenir	43	1
1320	effet	43	1
1321	ressentiment	43	1
1322	insolence	43	1
1323	querelle	43	1
1324	ne	44	1
1325	ce	44	1
1326	pas	44	1
