file,nmi,pk,pk_rdm,wd,wd_rdm
corpora/cities_pp/c100_pp_wostw.txt,0.051789508883371006,0.456875950467086682598305453,0.538561807516836845535520313,0.5930914620899413426026504453,1
corpora/cities_pp/c10_pp_wostw.txt,0.028364119753467126,0.4008702232311766931517215287,0.6555051078320090805902383653,0.4267877412031782065834279227,1
corpora/cities_pp/c11_pp_wostw.txt,0.0,0.3730806925841228356746161387,0.6269193074158771643253838613,0.3730806925841228356746161387,1
corpora/cities_pp/c12_pp_wostw.txt,0.018225818079562587,0.4354980254497586660816147433,0.6000438788942518648530057043,0.4527570571888255082638584173,1
corpora/cities_pp/c13_pp_wostw.txt,0.021368823686343574,0.3939670932358318098720292503,0.6382541133455210237659963437,0.4803473491773308957952468007,1
corpora/cities_pp/c14_pp_wostw.txt,0.10782920234341475,0.4395579612088407758231844837,0.598105548037889039242219215,0.4869192602616147947677041047,1
corpora/cities_pp/c15_pp_wostw.txt,0.027384535991244102,0.370545569221065909807631662,0.6064333017975402081362346263,0.3986124251024913276568905707,1
corpora/cities_pp/c16_pp_wostw.txt,0.09967933283998076,0.5713956701980654076462459697,0.526024873330262551819438047,0.8278826961461692000614156303,1
corpora/cities_pp/c17_pp_wostw.txt,0.017736611593073957,0.4785150540777550423852674657,0.593101432329728149663840982,0.548572542141673974471402124,1
corpora/cities_pp/c18_pp_wostw.txt,0.0412394236095278,0.4699150978220745662606127723,0.594130675526024363233665559,0.5481727574750830564784053157,1
corpora/cities_pp/c19_pp_wostw.txt,0.015050767472541068,0.4241706161137440758293838863,0.5683818551117129316181448883,0.4519295870006770480704129993,1
corpora/cities_pp/c1_pp_wostw.txt,0.0074422784196423114,0.3287523578550255995688493667,0.6738075990299110751818916733,0.3287523578550255995688493667,1
corpora/cities_pp/c20_pp_wostw.txt,0.07071540172893488,0.4599634846113719353155972873,0.5582942097026604068857589983,0.5406885758998435054773082943,1
corpora/cities_pp/c21_pp_wostw.txt,0.0,0.3628205128205128205128205127,0.637179487179487179487179487,0.3628205128205128205128205127,1
corpora/cities_pp/c22_pp_wostw.txt,0.05489699907381613,0.4235683548493876199933796757,0.628003972194637537239324727,0.5783515392254220456802383317,1
corpora/cities_pp/c23_pp_wostw.txt,0.004001234907407298,0.4053692331916233663989922847,0.5717997165800661313179026927,0.430011021886317115414895292,1
corpora/cities_pp/c24_pp_wostw.txt,0.1245508661412374,0.4316353887399463806970509383,0.6085790884718498659517426273,0.469168900804289544235924933,1
corpora/cities_pp/c25_pp_wostw.txt,0.0675940095110661,0.495475113122171945701357466,0.556058320764203117144293615,0.6628121334003686944863415453,1
